bill_number,session_year,sponsors,sponsors_on_bill,title,lsr,local_gov,chapter_num,S_status,S_floor_date,S_comm,H_status,H_floor_date,H_comm,bill_url,hist_url,vote_url
HB1600-FN,2024,Thomas Cormen (D); Kat McGhee (D); Kevin Avard (R); Rebecca McWilliams (D); Brian Seaworth (R); David Watters (D); Henry  NoÃ«l (D); Dan Wolf (R); Jeb Bradley (R),"SPONSORS:	Rep. Cormen, Graf. 15; Rep. McWilliams, Merr. 30; Rep. Noel, Coos 5; Rep. McGhee, Hills. 35; Rep. Seaworth, Merr. 12; Rep. Wolf, Merr. 7; Sen. Avard, Dist 12; Sen. Watters, Dist 4; Sen. Bradley, Dist 3",(New Title) relative to aggregation of electric customers by municipalities and counties.,2332,N,0372,CONFERENCE REPORT ADOPTED,2024-06-13,Energy and Natural Resources,CONFERENCE REPORT ADOPTED,2024-03-07,"Science, Technology and Energy",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2332&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2332&sy=2024&txtsessionyear=2024&sortoption=,
HB1601-FN-A,2024,Gary Merchant (D); Cindy Rosenwald (D); Daryl Abbas (R); David Nagel (R),"SPONSORS:	Rep. Merchant, Sull. 6; Rep. Nagel, Belk. 6; Sen. Rosenwald, Dist 13; Sen. Abbas, Dist 22",relative to the prescription drug affordability board.,2336,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-02-15,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2336&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2336&sy=2024&txtsessionyear=2024&sortoption=,
HB1602-FN,2024,Joe Alexander (R); Hope Damon (D); Thomas Walsh (R); Benjamin Baroody (D); Josh Yokela (R); Scott Wallace (R); Ellen Read (D),"SPONSORS:	Rep. Alexander Jr., Hills. 29; Rep. Baroody, Hills. 39; Rep. Read, Rock. 10; Rep. Damon, Sull. 8; Rep. Yokela, Rock. 32; Rep. T. Walsh, Merr. 10; Rep. Wallace, Rock. 8",relative to the authority of the housing appeals board.,2353,N,None,,,,INTERIM STUDY,2024-03-21,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2353&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2353&sy=2024&txtsessionyear=2024&sortoption=,
HB1603-FN-L,2024,Dan Hynes (I),"SPONSORS:	Rep. Hynes, Hills. 2",relative to unlawful discriminatory practices.,2356,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-07,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2356&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2356&sy=2024&txtsessionyear=2024&sortoption=,
HB1604-FN,2024,David Nagel (R),"SPONSORS:	Rep. Nagel, Belk. 6",relative to the use of electronic medical records.,2380,N,None,INTERIM STUDY,2024-05-22,Health and Human Services,PASSED/ADOPTED WITH AMENDMENT,2024-03-07,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2380&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2380&sy=2024&txtsessionyear=2024&sortoption=,
HB1605-FN,2024,Candace Gibbons (D); Tommy Hoyt (D); Gerri Cannon (D); Suzanne Vail (D); Barry Faulkner (D); Alissandra Murray (D); Thomas Cormen (D); Corinne Cascadden (D),"SPONSORS:	Rep. Gibbons, Hills. 20; Rep. Vail, Hills. 6; Rep. Cormen, Graf. 15; Rep. Hoyt, Graf. 7; Rep. Faulkner, Ches. 10; Rep. Cascadden, Coos 5; Rep. Cannon, Straf. 12; Rep. A. Murray, Hills. 20",relative to alternative education programs for granting credit leading to graduation.,2392,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-28,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2392&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2392&sy=2024&txtsessionyear=2024&sortoption=,
HB1606-FN,2024,Carroll Brown (R); David Rochefort (R); Carrie Gendreau (R); James Spillane (R); Mike Ouellet (R),"SPONSORS:	Rep. C. Brown, Graf. 10; Rep. Spillane, Rock. 2; Rep. Rochefort, Graf. 1; Rep. Ouellet, Coos 3; Sen. Gendreau, Dist 1",relative to contact information on agency web pages.,2395,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-21,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2395&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2395&sy=2024&txtsessionyear=2024&sortoption=,
HB1607,2024,Glenn Cordelli (R); Candace Gibbons (D); Jodi Nelson (R); Katy Peternel (R); Dianne Schuett (D); Jeb Bradley (R); Maureen Mooney (R); Jonah Wheeler (D); Sharon Carson (R); Mark Pearson (R); Matthew Coker (R); Regina Birdsell (R); Gerri Cannon (D),"SPONSORS:	Rep. Cordelli, Carr. 7; Rep. Peternel, Carr. 6; Rep. Mooney, Hills. 12; Rep. M. Pearson, Rock. 34; Rep. Cannon, Straf. 12; Rep. Gibbons, Hills. 20; Rep. Schuett, Merr. 12; Rep. Wheeler, Hills. 33; Rep. Coker, Belk. 2; Rep. J. Nelson, Rock. 13; Sen. Bradley, Dist 3; Sen. Carson, Dist 14; Sen. Birdsell, Dist 19",relative to expanded safe haven protections.,2399,N,0272,PASSED/ADOPTED WITH AMENDMENT,2024-05-22,Judiciary,CONCURRED,2024-03-28,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2399&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2399&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2399&sy=2024&txtsessionyear=2024&sortoption=
HB1608-FN,2024,Mel Myler (D),"SPONSORS:	Rep. Myler, Merr. 9",relative to providing an induction program for new teachers.,2401,N,None,,,,INTERIM STUDY,2024-03-28,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2401&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2401&sy=2024&txtsessionyear=2024&sortoption=,
HB1609-FN,2024,James Murphy (D); Trinidad Tellez (D); Gerri Cannon (D); Gary Merchant (D); Joe Schapiro (D); Sharon Carson (R); William Palmer (D); Mark Pearson (R); Suzanne Prentiss (D); David Nagel (R),"SPONSORS:	Rep. J. Murphy, Graf. 12; Rep. Merchant, Sull. 6; Rep. Palmer, Sull. 2; Rep. Nagel, Belk. 6; Rep. Tellez, Hills. 40; Rep. Schapiro, Ches. 16; Rep. M. Pearson, Rock. 34; Rep. Cannon, Straf. 12; Sen. Carson, Dist 14; Sen. Prentiss, Dist 5",relative to the commission on the primary care workforce and the state office of rural health.,2402,N,0273,PASSED/ADOPTED WITH AMENDMENT,2024-04-18,Health and Human Services,CONCURRED,2024-03-14,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2402&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2402&sy=2024&txtsessionyear=2024&sortoption=,
