bill_number,session_year,chamber,action_date,action,order
CACR1,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Executive Departments and Administration,1
CACR1,2023,H,2023-01-05,Public Hearing: 01/12/2023 01:30 pm LOB 306-308,2
CACR1,2023,H,2023-02-02,Executive Session: 02/08/2023 01:30 pm LOB 306-308,3
CACR1,2023,H,2023-02-09,Committee Report: Inexpedient to Legislate CACR1 02/08/2023 (Vote 20-0; CC) HC 11 P. 6,4
CACR1,2023,H,2023-02-14,Inexpedient to Legislate: MA VV 02/14/2023 HJ 5,5
CACR2,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Judiciary,1
CACR2,2023,H,2023-01-24,Public Hearing: 02/15/2023 09:00 am LOB 206-208,2
CACR2,2023,H,2023-02-23,Executive Session: 03/08/2023 10:00 am LOB 206-208,3
CACR2,2023,H,2023-03-14,Committee Report: Without Recommendation 03/08/2023 (Vote ; RC) HC 16 P. 35,4
CACR2,2023,H,2023-03-23,Ought to Pass: MF RC 193-191 Lacking Necessary Three-Fifths Vote 03/23/2023 HJ 11 P. 19,5
CACR3,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Legislative Administration,1
CACR3,2023,H,2023-01-18,Public Hearing: 01/30/2023 10:00 am LOB 301-303,2
CACR3,2023,H,2023-02-13,Executive Session: 03/08/2023 01:30 pm LOB 301-303,3
CACR3,2023,H,2023-03-13,Committee Report: Inexpedient to Legislate CACR3 03/07/2023 (Vote 14-1; CC) HC 16 P. 12,4
CACR3,2023,H,2023-03-22,Inexpedient to Legislate: MA VV 03/22/2023 HJ 10 P. 23,5
CACR4,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Legislative Administration,1
CACR4,2023,H,2023-01-18,Public Hearing: 01/30/2023 10:30 am LOB 301-303,2
CACR4,2023,H,2023-02-13,Executive Session: 03/08/2023 01:30 pm LOB 301-303,3
CACR4,2023,H,2023-03-13,Majority Committee Report: Inexpedient to Legislate CACR4 03/08/2023 (Vote 10-5; RC) HC 16 P. 39,4
CACR4,2023,H,2023-03-13,Minority Committee Report: Ought to Pass,5
CACR4,2023,H,2023-03-23,Lay CACR4 on Table (Rep. A. Nutting-Wong): MF DV 153-29 03/23/2023 HJ 11 P. 36,6
CACR4,2023,H,2023-03-23,Inexpedient to Legislate: MA RC 239-145 03/23/2023 HJ 11 P. 36,7
CACR5,2023,H,2022-12-28,Introduced 01/04/2023 and referred to Judiciary,1
CACR5,2023,H,2023-01-11,Public Hearing: 01/18/2023 01:30 pm LOB 206-208,2
CACR5,2023,H,2023-01-24,Executive Session: 01/30/2023 01:00 pm LOB 206-208,3
CACR5,2023,H,2023-02-09,Committee Report: Inexpedient to Legislate CACR 5 01/30/2023 (Vote 19-0; CC) HC 11 P. 8,4
CACR5,2023,H,2023-02-14,Inexpedient to Legislate: MA VV 02/14/2023 HJ 5,5
CACR6,2023,H,2022-12-28,Introduced 01/04/2023 and referred to Judiciary,1
