bill_number,session_year,chamber,action_date,action,order
CACR16,2024,H,2024-03-21,Inexpedient to Legislate: MA VV 03/21/2024 HJ 9 P. 14,5
CACR17,2024,H,2023-12-01,Introduced 01/03/2024 and referred to Children and Family Law,1
CACR17,2024,H,2024-01-24,Public Hearing: 01/30/2024 01:30 pm LOB 206-208,2
CACR17,2024,H,2024-02-02,Executive Session: 02/20/2024 10:30 am LOB 206-208,3
CACR17,2024,H,2024-02-23,Majority Committee Report: Inexpedient to Legislate 02/20/2024 (Vote 10-6; RC) HC 9 P. 17,4
CACR17,2024,H,2024-02-23,Minority Committee Report: Ought to Pass,5
CACR17,2024,H,2024-03-07,Inexpedient to Legislate: MF RC 174-186 03/07/2024 HJ 7 P. 27,6
CACR17,2024,H,2024-03-07,FLAM #2024-1003h (Rep. Hoell): AF DV 173-189 03/07/2024 HJ 7 P. 29,7
CACR17,2024,H,2024-03-07,Ought to Pass: MF DV 180-183 Lacking Necessary Three-Fifths Vote 03/07/2024 HJ 7 P. 30,8
CACR17,2024,H,2024-03-08,Notice of Reconsideration (Rep. Ankarberg) 03/08/2024,9
CACR18,2024,H,2023-12-01,Introduced 01/03/2024 and referred to Ways and Means,1
CACR18,2024,H,2024-01-05,Public Hearing: 01/09/2024 10:30 am LOB 202-204,2
CACR18,2024,H,2024-01-31,Full committee Work Session: 02/05/2024 10:00 am LOB 202-204,3
CACR18,2024,H,2024-01-31,Executive Session: 02/06/2024 01:00 pm LOB 202-204,4
CACR18,2024,H,2024-02-09,Committee Report: Inexpedient to Legislate 02/06/2024 (Vote 20-0; CC),5
CACR18,2024,H,2024-03-20,Inexpedient to Legislate: MA VV 02/22/2024 HJ 6 P. 19,6
CACR19,2024,H,2024-02-14,Public Hearing: 02/20/2024 09:00 am LOB 306-308,1
CACR19,2024,H,2024-02-27,Executive Session: 03/05/2024 09:00 am LOB 306-308,2
CACR19,2024,H,2024-03-06,Committee Report: Without Recommendation 03/05/2024 (Vote 10-10; RC),3
CACR19,2024,H,2024-03-14,Introduced 01/03/2024 and referred to Election Law HJ 1 P. 32,4
CACR19,2024,H,2024-03-14,Amendment #2024-0910h: AA VV 03/14/2024 HJ 8 P. 48,5
CACR19,2024,H,2024-03-14,Ought to Pass with Amendment 2024-0910h: MF DV 186-189 Lacking Necessary Three-Fifths Vote 03/14/2024 HJ 8 P. 53,6
CACR20,2024,H,2023-12-11,Introduced 01/03/2024 and referred to State-Federal Relations and Veterans Affairs HJ 1 P. 32,1
CACR20,2024,H,2024-01-05,Public Hearing: 01/12/2024 09:30 am LOB 206-208,2
CACR20,2024,H,2024-01-09,Executive Session: 01/19/2024 02:00 pm LOB 206-208,3
CACR20,2024,H,2024-01-24,Committee Report: Inexpedient to Legislate 01/19/2024 (Vote 20-0; CC) HC 4 P. 10,4
CACR20,2024,H,2024-02-01,"Removed from Consent (Reps. Gerhard, T. Mannion, Granger, Hoell, Santonastaso, D. Kelley, Hynes, Bailey, McCarter, Terry) 02/01/2024 HJ 3",5
CACR20,2024,H,2024-02-01,Indefinitely Postpone MA DV 341-24 by necessary three-fifths vote 02/01/2024 HJ 3 P. 42,6
CACR21,2024,H,2023-12-11,Introduced 01/03/2024 and referred to Executive Departments and Administration HJ 1 P. 32,1
CACR21,2024,H,2024-02-06,Public Hearing: 02/13/2024 02:30 pm LOB 305,2
CACR21,2024,H,2024-02-14,Executive Session: 02/13/2024 02:30 pm LOB 305,3
CACR21,2024,H,2024-02-14,Committee Report: Inexpedient to Legislate 02/13/2024 (Vote 13-1; CC),4
CACR21,2024,H,2024-02-22,Inexpedient to Legislate: MA VV 02/22/2024 HJ 6 P. 11,5
CACR22,2024,S,2023-12-13,To Be Introduced 01/03/2024 and Referred to Election Law and Municipal Affairs; SJ 1,1
CACR22,2024,S,2023-12-14,"Hearing: 01/09/2024, Room 103, LOB, 09:20 am; SC 48",2
CACR22,2024,S,2024-01-09,"Committee Report: Ought to Pass, 01/18/2024, Vote 5-0; SC 3",3
CACR22,2024,S,2024-01-18,"Ought to Pass, RC 24Y-0N, MA, by Necessary 3/5; OT3rdg; 01/18/2024 SJ 2",4
CACR22,2024,H,2024-03-02,Introduced (in recess of) 02/22/2024 and referred to Election Law HJ 6 P. 140,5
CACR22,2024,H,2024-03-06,Public Hearing: 03/11/2024 01:00 pm LOB 306-308,6
CACR22,2024,H,2024-03-13,Executive Session: 03/19/2024 10:30 am LOB 306-308,7
CACR22,2024,H,2024-05-09,Executive Session: 05/09/2024 12:00 pm LOB 306-308,8
CACR22,2024,H,2024-05-15,Committee Report: Without Recommendation 05/09/2024 (Vote 10-10; RC) HC 20 P. 15,9
CACR22,2024,H,2024-05-23,Lay CACR22 on Table (Rep. Lane): MF RC 175-187 05/23/2024 HJ 14 P. 47,10
CACR22,2024,H,2024-05-23,Ought to Pass: MF RC 195-165 Lacking Necessary Three-Fifths Vote 05/23/2024 HJ 14 P. 49,11
CACR23,2024,H,2023-12-15,Introduced 01/03/2024 and referred to Judiciary HJ 1 P. 32,1
CACR23,2024,H,2024-01-05,Public Hearing: 01/10/2024 10:00 am SH Reps Hall,2
CACR23,2024,H,2024-01-09,Executive Session: 01/18/2024 09:00 am LOB 206-208,3
CACR23,2024,H,2024-01-24,Committee Report: Without Recommendation 01/18/2024 (Vote 10-10; RC) HC 4 P. 14,4
CACR23,2024,H,2024-02-01,Ought to Pass: MF RC 193-184 Lacking Necessary Three-Fifths Vote 02/01/2024 HJ 3 P. 20,5
CACR24,2024,S,2023-12-14,To Be Introduced 01/03/2024 and Referred to Judiciary; SJ 1,1
CACR24,2024,S,2023-12-20,"Hearing: 01/04/2024, Room 100, SH, 01:00 pm; SC 49",2
CACR24,2024,S,2024-02-07,"Committee Report: Inexpedient to Legislate, 02/15/2024, Vote 3-2; SC 7",3
CACR24,2024,S,2024-02-15,"Inexpedient to Legislate, RC 14Y-9N, MA === BILL KILLED ===; 02/15/2024; SJ 4",4
CACR25,2024,H,2023-12-15,Introduced 01/03/2024 and referred to Children and Family Law HJ 1 P. 32,1
CACR25,2024,H,2024-01-17,Public Hearing: 01/30/2024 01:15 pm LOB 206-208,2
CACR25,2024,H,2024-02-02,Executive Session: 02/20/2024 10:30 am LOB 206-208,3
CACR25,2024,H,2024-02-23,Committee Report: Inexpedient to Legislate 02/20/2024 (Vote 16-0; CC) HC 9 P. 5,4
CACR25,2024,H,2024-03-07,Inexpedient to Legislate: MA VV 03/07/2024 HJ 7 P. 2,5
CACR26,2024,H,2023-12-19,Introduced 01/03/2024 and referred to Election Law HJ 1 P. 32,1
CACR26,2024,H,2024-02-08,Public Hearing: 02/13/2024 09:00 am LOB 307,2
CACR26,2024,H,2024-02-14,Executive Session: 02/20/2024 02:00 pm LOB 306-308,3
CACR26,2024,H,2024-03-11,Committee Report: Inexpedient to Legislate 02/20/2024 (Vote 20-0; CC),4
CACR26,2024,H,2024-03-21,Inexpedient to Legislate: MA VV 03/21/2024 HJ 9 P. 3,5
HB15-FN,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Ways and Means,1
HB15-FN,2024,H,2023-01-19,Public Hearing: 01/24/2023 10:00 am LOB 202-204,2
HB15-FN,2024,H,2023-03-01,Executive Session: 03/08/2023 01:15 pm LOB 202-204,3
HB15-FN,2024,H,2023-03-08,Retained in Committee,4
HB15-FN,2024,H,2023-08-09,Full Committee Work Session: 09/19/2023 10:00 am LOB 202-204,5
HB15-FN,2024,H,2023-09-13,Executive Session: 09/19/2023 10:30 am LOB 202-204 HC 37,6
HB15-FN,2024,H,2023-10-11,Committee Report: Refer for Interim Study HB15 09/19/2023 (Vote 20-0; CC) HC 49 P. 22,7
HB15-FN,2024,H,2024-01-03,Refer for Interim Study: MA VV 01/03/2024 HJ 1 P. 68,8
HB15-FN,2024,H,2024-08-14,Full Committee Work Session: 09/17/2024 10:00 am LOB 202-204,9
HB15-FN,2024,H,2024-08-14,Executive Session: 09/17/2024 10:30 am LOB 202-204,10
HB37,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Environment and Agriculture,1
HB37,2024,H,2023-02-02,Public Hearing: 02/07/2023 01:30 pm LOB 303,2
HB37,2024,H,2023-02-23,Executive Session: 02/28/2023 01:30 pm LOB 201-203,3
HB37,2024,H,2023-03-01,Retained in Committee,4
HB37,2024,H,2023-08-22,Full Committee Work Session: 09/12/2023 10:00 am LOB 301-303,5
HB37,2024,H,2023-10-03,Full Committee Work Session: 10/17/2023 10:00 am LOB 301-303 HC 40,6
HB37,2024,H,2023-10-03,Executive Session: 10/24/2023 01:00 pm LOB 301-303,7
HB37,2024,H,2023-11-01,Committee Report: Inexpedient to Legislate HB37 10/24/2023 (Vote 19-0; CC) HC 49 P. 11,8
HB37,2024,H,2024-01-03,Inexpedient to Legislate: MA VV 01/03/2024 HJ 1 P. 51,9
HB38-FN,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Criminal Justice and Public Safety,1
HB38-FN,2024,H,2023-01-18,Public Hearing: 02/01/2023 09:00 am LOB 202-204,2
HB38-FN,2024,H,2023-01-24,Executive Session: 02/03/2023 09:00 am LOB 202-204,3
HB38-FN,2024,H,2023-02-15,Retained in Committee,4
HB38-FN,2024,H,2023-08-22,Subcommittee Work Session: 09/14/2023 10:00 am LOB 202-204,5
HB38-FN,2024,H,2023-08-22,Subcommittee Work Session: 09/15/2023 10:00 am LOB 202-204,6
HB38-FN,2024,H,2023-08-24,Subcommittee Work Session: 09/21/2023 10:00 am LOB 202-204,7
HB38-FN,2024,H,2023-08-24,Subcommittee Work Session: 09/22/2023 10:00 am LOB 202-204,8
HB38-FN,2024,H,2023-09-06,==CANCELLED== Subcommittee Work Session: 09/28/2023 10:00 am LOB 202-204 HC 36,9
HB38-FN,2024,H,2023-09-06,Subcommittee Work Session: 09/29/2023 10:00 am LOB 202-204 HC 36,10
HB38-FN,2024,H,2023-09-13,Subcommittee Work Session: 10/05/2023 10:00 am LOB 202-204 HC 37,11
HB38-FN,2024,H,2023-09-14,Subcommittee Work Session: 10/06/2023 10:00 am LOB 202-204 HC 37,12
HB38-FN,2024,H,2023-09-13,Subcommittee Work Session: 10/12/2023 10:00 am LOB 202-204 HC 37,13
HB38-FN,2024,H,2023-09-13,==CANCELLED== Subcommittee Work Session: 10/13/2023 10:00 am LOB 202-204 HC 37,14
HB38-FN,2024,H,2023-10-12,Subcommittee Work Session: 10/19/2023 10:00 am LOB 209 HC 41,15
HB38-FN,2024,H,2023-10-12,Subcommittee Work Session: 10/20/2023 10:00 am LOB 209 HC 41,16
HB38-FN,2024,H,2023-10-12,==CANCELLED== Subcommittee Work Session: 10/27/2023 10:00 am LOB 202-204 HC 41,17
HB38-FN,2024,H,2023-10-12,Subcommittee Work Session: 11/02/2023 10:00 am LOB 202-204 HC 41,18
HB38-FN,2024,H,2023-10-12,Subcommittee Work Session: 11/03/2023 10:00 am LOB 202-204 HC 41,19
HB38-FN,2024,H,2023-10-16,==CANCELLED== Executive Session: 11/09/2023 10:00 am LOB 202-204 HC 42,20
HB38-FN,2024,H,2023-11-03,Subcommittee Work Session: 11/08/2023 01:00 pm LOB 202-204 HC 45,21
HB38-FN,2024,H,2023-11-03,Subcommittee Work Session: 11/14/2023 10:00 am LOB 202-204 HC 45,22
HB38-FN,2024,H,2023-11-03,==CANCELLED== Executive Session: 11/15/2023 10:00 am LOB 202-204 HC 45,23
HB38-FN,2024,H,2023-11-07,Public Hearing on non-germane Amendment #2023-2423h: 11/16/2023 10:00 am LOB 202-204 HC 45,24
HB38-FN,2024,H,2023-11-07,Executive Session: 11/16/2023 11:00 am LOB 202-204 HC 45,25
HB38-FN,2024,H,2023-11-17,Committee Report: Ought to Pass with Amendment #2023-2423h (NT) 11/15/2023 (Vote 20-0; CC) HC 49 P. 6,26
HB38-FN,2024,H,2024-01-03,Amendment #2023-2423h: AA VV 01/03/2024 HJ 1 P. 37,27
HB38-FN,2024,H,2024-01-03,Ought to Pass with Amendment 2023-2423h: MA VV 01/03/2024 HJ 1 P. 37,28
HB38-FN,2024,S,2024-02-26,Introduced 02/21/2024 and Referred to Judiciary; SJ 6,29
HB38-FN,2024,S,2024-03-20,"Hearing: 03/26/2024, Room 100, SH, 01:00 pm; SC 12",30
