"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Shae Sortwell","sortwell",20188,"2023_2024","House","HD-002","R",4.30860824540342,1,0.0442699632475777,0.0520381613183001,0.040453074433657,0.0317208564631245,0.0469483568075117,51,46,18,6,3,2,2,2,2,1,49,44,16,4,2,0,0,0,0,0,4.03255037572637,51,0.117647058823529,0.0588235294117647,72
"Joel Kitchens","kitchens",16418,"2023_2024","House","HD-001","R",3.06752179927127,2,0.0141997995322419,0.0184301821335646,0.0303398058252427,0.0317208564631245,0.0586854460093897,15,15,13,6,4,2,2,2,2,1,13,13,11,4,3,0,0,0,0,0,2.74724301613453,15,0.4,0.266666666666667,164
"Robert Wittke","wittke",20191,"2023_2024","House","HD-062","R",2.82704628610585,3,0.0158703641830939,0.0205984388551604,0.0222491909385113,0.0356859635210151,0.0469483568075117,18,18,10,8,4,1,1,1,1,0,17,17,9,7,4,0,0,0,0,0,2.92491277124481,18,0.444444444444444,0.222222222222222,56
"Patrick Snyder","snyder",18357,"2023_2024","House","HD-085","R",2.75862567146004,4,0.0167056465085199,0.0162619254119688,0.026294498381877,0.0317208564631245,0.0469483568075117,20,15,13,8,4,0,0,0,0,0,20,15,13,8,4,0,0,0,0,0,3.02280099863607,20,0.4,0.2,74
"William Penterman","penterman",22945,"2023_2024","House","HD-037","R",2.5597463874381,5,0.0192114934847979,0.0195143104943625,0.026294498381877,0.0277557494052339,0.0352112676056338,22,17,12,6,3,1,1,1,1,0,21,16,11,5,3,0,0,0,0,0,2.61589085503696,22,0.272727272727273,0.136363636363636,190
"Bob Donovan","donovan",23588,"2023_2024","House","HD-084","R",2.54314544847457,6,0.0125292348813899,0.0119254119687771,0.0202265372168285,0.0237906423473434,0.0586854460093897,13,9,8,4,3,2,2,2,2,2,11,7,6,2,1,0,0,0,0,0,1.91569958925954,13,0.307692307692308,0.230769230769231,183
"Ron Tusler","tusler",18360,"2023_2024","House","HD-003","R",2.3530900263061,7,0.0158703641830939,0.0184301821335646,0.0283171521035599,0.0198255352894528,0.0352112676056338,19,17,14,5,3,0,0,0,0,0,19,17,14,5,3,0,0,0,0,0,2.55704076380519,19,0.263157894736842,0.157894736842105,101
"Scott Krug","krug",12267,"2023_2024","House","HD-072","R",2.25323529749374,8,0.0133645172068159,0.0162619254119688,0.0202265372168285,0.0158604282315623,0.0469483568075117,15,14,9,3,3,1,1,1,1,1,14,13,8,2,2,0,0,0,0,0,2.01206469494736,15,0.2,0.2,111
"Alex Dallman","dallman",21993,"2023_2024","House","HD-041","R",2.25302702393168,9,0.0141997995322419,0.0151777970511709,0.0242718446601942,0.0237906423473434,0.0352112676056338,17,14,12,6,3,0,0,0,0,0,17,14,12,6,3,0,0,0,0,0,2.46210972208157,17,0.352941176470588,0.176470588235294,30
"Ellen Schutt","schutt",23604,"2023_2024","House","HD-031","R",2.24285642212785,10,0.0135315736719011,0.0164787510841284,0.0307443365695793,0.0396510705789056,0.0117370892018779,13,12,12,6,1,4,4,4,4,0,8,7,7,2,1,1,1,1,0,0,1.84179524981581,13,0.461538461538462,0.0769230769230769,57
"Nik Rettinger","rettinger",23601,"2023_2024","House","HD-083","R",2.22324122335019,11,0.0116939525559639,0.0140936686903729,0.0222491909385113,0.0396510705789056,0.0234741784037559,11,10,8,7,2,3,3,3,3,0,8,7,5,4,2,0,0,0,0,0,1.93510028281311,11,0.636363636363636,0.181818181818182,235
"Amy Binsfeld","binsfeld",23585,"2023_2024","House","HD-027","R",2.19949379542506,12,0.0125292348813899,0.0140936686903729,0.0202265372168285,0.0396510705789056,0.0234741784037559,13,11,8,8,2,2,2,2,2,0,11,9,6,6,2,0,0,0,0,0,2.08687969184179,13,0.615384615384615,0.153846153846154,105
"Nate Gustafson","gustafson",23591,"2023_2024","House","HD-055","R",2.1871178063184,13,0.0208820581356499,0.0227666955767563,0.0222491909385113,0.0317208564631245,0.0117370892018779,24,20,10,7,1,1,1,1,1,0,23,19,9,6,1,0,0,0,0,0,2.21901153795699,24,0.291666666666667,0.0416666666666667,155
"Joy Goeben","goeben",23589,"2023_2024","House","HD-005","R",2.18428744908105,14,0.0175409288339459,0.0216825672159584,0.0303398058252427,0.0396510705789056,0,16,15,10,6,0,5,5,5,4,0,11,10,5,2,0,0,0,0,0,0,1.62049066439722,16,0.375,0,162
