Date,State,Bill No,Title,Action
"Nov. 14, 2024",MA,H 5100,Increases Protections Over the State Economy and Amends the Commercial Real Estate Market,"Bill Passed
                           - Senate
                      

                      
                          (39 - 1)"
"Oct. 24, 2024",MA,S 2967,Reduces Clean Energy Infrastructure Permitting Requirements,"Conference Report Adopted
                           - Senate
                      

                      
                          (38 - 2)"
"July 30, 2024",MA,H 4750,Amends and Redefines Parentage,"Bill Passed
                           - Senate
                      

                      
                          (40 - 0)"
"July 24, 2024",MA,H 4890,Requires Employers to Disclose Salary Ranges,"Bill Passed
                           - Senate
                      

                      
                          (38 - 2)"
"July 24, 2024",MA,H 4891,Promoting Access and Affordability of Prescription Drugs,"Bill Passed
                           - House
                      

                      
                          (158 - 0)"
"July 18, 2024",MA,H 4653,Increases Oversight of the Massachusetts Healthcare Market,"Bill Passed
                           - Senate
                      

                      
                          (38 - 2)"
"July 18, 2024",MA,H 4885,Amends Various State Gun Reform Measures,"Bill Passed
                           - Senate
                      

                      
                          (35 - 5)"
"July 17, 2024",MA,S 2838,Authorizes and Streamlines State Clean Energy Infrastructure Construction,"Bill Passed
                           - House
                      

                      
                          (131 - 25)"
"July 11, 2024",MA,H 4804,Authorizes Grant Programs to Strengthen Economic Leadership Within Various Sectors of Work,"Bill Passed
                           - Senate
                      

                      
                          (40 - 0)"
"July 11, 2024",MA,S 2856,Appropriates State Funding for a Potential Revolution Stadium on the Everett Riverfront,"Bill Passed
                           - Senate
                      

                      
                          (35 - 4)"
"June 25, 2024",MA,S 2829,Expands the Use of Renewable Energy,"Bill Passed
                           - Senate
                      

                      
                          (38 - 2)"
"June 20, 2024",MA,S 2830,Prohibits Single-Use Plastic Shopping Bags at Retail Shops Across the State,"Bill Passed
                           - Senate
                      

                      
                          (38 - 2)"
"June 13, 2024",MA,H 4744,Classifies Coercive Control as a Form of Domestic Violence,"Conference Report Adopted
                           - Senate
                      

                      
                          (38 - 0)"
"June 13, 2024",MA,H 4758,Establishes Treatments and Coverage for Substance Use Disorder and Recovery Coach Licensure,"Bill Passed
                           - House
                      

                      
                          (153 - 0)"
"June 12, 2024",MA,H 4672,Amends the Legal Definition of Parentage,"Bill Passed
                           - House
                      

                      
                          (156 - 0)"
"June 5, 2024",MA,H 4707,Appropriates $6.5 Billion for State Affordable Housing Bonds,"Bill Passed
                           - House
                      

                      
                          (145 - 13)"
"April 26, 2024",MA,H 4600,Appropriates Funding for the Fiscal Year 2025 State Budget,"Bill Passed
                           - House
                      

                      
                          (153 - 4)"
"April 25, 2024",MA,H 4582,Appropriates Funding for Homeless Shelter Costs and Amends Stay Limits,"Conference Report Adopted
                           - House
                      

                      
                          (123 - 35)"
"April 25, 2024",MA,H 4582,Appropriates Funding for Homeless Shelter Costs and Amends Stay Limits,"Bill Passed
                           - Senate
                      

                      
                          (29 - 9)"
"April 25, 2024",MA,H 4529,Appropriates Funding for Municipal Roads and Bridges,"Bill Passed
                           - Senate
                      

                      
                          (38 - 0)"
"April 25, 2024",MA,S 2738,Prohibits Electric Suppliers from Enrolling New Individual Residential Customers in Contracts,"Bill Passed
                           - Senate
                      

                      
                          (34 - 4)"
"April 25, 2024",MA,S 2736,Establishes Consumer Automobile Protections,"Bill Passed
                           - Senate
                      

                      
                          (38 - 0)"
"March 14, 2024",MA,S 2697,Expands Childcare Affordability Programs,"Bill Passed
                           - Senate
                      

                      
                          (40 - 0)"
"Feb. 1, 2024",MA,H 4139,Amends and Updates Various State Gun Control Laws,"Bill Passed
                           - Senate
                      

                      
                          (37 - 3)"
"Jan. 18, 2024",MA,S 2552,Prohibits Declawing of Cats,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"Jan. 18, 2024",MA,S 2551,Repeals Certain Language in Several State Laws,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"Jan. 10, 2024",MA,H 4241,Prohibits Revenge Porn and Increases Penalties,"Bill Passed
                           - House
                      

                      
                          (151 - 0)"
