"bill_id","ga_num","session","primary_sponsors","act_num","intro_date","cosponsors","title","bill_url","term","session_year","LES_sponsor","bill_type","SS","commem","state","introduced","action_in_comm","action_beyond_comm","passed_chamber","law"
"SB0517","94th","2023-RS","c. penzo",716,"3/28/2023",NA,"TO AMEND THE NO PATIENT LEFT ALONE ACT; AND TO SET CERTAIN REQUIREMENTS REGARDING CLERGY MEMBER VISITATION.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB517&ddBienniumSession=2023%2F2023R","2023_2024","2023","c. penzo","SB",0,0,"AR",1,1,1,1,1
"SB0518","94th","2023-RS","irvin",NA,"3/28/2023",NA,"TO AMEND THE MEDICAID FRAUD ACT AND THE MEDICAID FRAUD FALSE CLAIMS ACT; AND TO UPDATE LANGUAGE AND DEFINITIONS TO REFLECT CHANGES WITHIN THE HEALTHCARE SYSTEM;.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB518&ddBienniumSession=2023%2F2023R","2023_2024","2023","irvin","SB",0,0,"AR",1,0,1,0,0
"SB0519","94th","2023-RS","irvin",783,"3/28/2023",NA,"TO CREATE THE VULNERABLE PERSON PROTECTION ACT; AND TO EXPAND PROTECTION OF CERTAIN TYPES OF VULNERABLE PERSONS IN THIS STATE BY ESTABLISHING ADDITIONAL CRIMINAL PENALTIES.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB519&ddBienniumSession=2023%2F2023R","2023_2024","2023","irvin","SB",0,0,"AR",1,1,1,1,1
"SB0520","94th","2023-RS","irvin",663,"3/28/2023",NA,"TO AMEND THE COMPOSITION OF THE GRADUATE MEDICAL EDUCATION RESIDENCY EXPANSION BOARD.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB520&ddBienniumSession=2023%2F2023R","2023_2024","2023","irvin","SB",0,0,"AR",1,1,1,1,1
"SB0521","94th","2023-RS","b. davis",NA,"3/28/2023",NA,"TO AMEND THE LAW REGARDING OIL AND GAS PRODUCTION AND CONSERVATION; AND TO AMEND THE LAW REGARDING THE ALLOCATION OF PRODUCTION AND COST FOLLOWING AN INTEGRATION ORDER.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB521&ddBienniumSession=2023%2F2023R","2023_2024","2023","b. davis","SB",0,0,"AR",1,0,0,0,0
"SB0522","94th","2023-RS","g. leding",NA,"3/29/2023",NA,"TO AMEND THE LAW REGARDING EMPLOYMENT; TO AMEND THE RECORDS KEPT BY AN EMPLOYER; AND TO REQUIRE CERTAIN RECORDS BE PROVIDED TO AN EMPLOYEE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB522&ddBienniumSession=2023%2F2023R","2023_2024","2023","g. leding","SB",0,0,"AR",1,0,0,0,0
"SB0523","94th","2023-RS","c. tucker",882,"3/29/2023",NA,"TO AMEND THE LAW CONCERNING ALCOHOLIC BEVERAGES; AND TO AMEND THE LAW CONCERNING THE EXPANSION OF OUTDOOR DINING AT RESTAURANTS TO INCLUDE BARS.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB523&ddBienniumSession=2023%2F2023R","2023_2024","2023","c. tucker","SB",0,0,"AR",1,1,1,1,1
"SB0524","94th","2023-RS","j. petty",784,"3/29/2023",NA,"TO CLARIFY NONCRIMINAL BACKGROUND CHECK REQUESTS SUBMITTED TO THE DIVISION OF ARKANSAS STATE POLICE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB524&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. petty","SB",0,0,"AR",1,1,1,1,1
"SB0525","94th","2023-RS","j. petty",NA,"3/29/2023",NA,"CONCERNING VENOUS BLOOD DRAWS IN CONNECTION WITH A CRIMINAL OFFENSE; TO ESTABLISH REQUIREMENTS AND RESTRICTIONS FOR WHO CAN PERFORM VENOUS BLOOD DRAWS; AND TO CLARIFY CIRCUMSTANCES FOR A SECOND TEST UNDER CERTAIN CONDITIONS.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB525&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. petty","SB",0,0,"AR",1,0,0,0,0
"SB0526","94th","2023-RS","j. petty",785,"3/29/2023",NA,"CONCERNING THE TAKING OF A DNA SAMPLE FOR A PERSON ARRESTED FOR A FELONY; AND TO CLARIFY THE RETENTION OF A DNA SAMPLE FOR A PERSON ARRESTED FOR A FELONY.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB526&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. petty","SB",0,0,"AR",1,1,1,1,1
