state,term,sponsor,legiscan_id,chamber,party,district,not_actually_in_chamber,notes
WA,2023_2024,Laurie Jinkins,10544,H,D,HD-027A,FALSE,Speaker - served full term with LES=0
WA,2023_2024,Lilian Hale,25174,H,R,HD-019B,TRUE,Temporarily served for father on active military duty
