bill_id,term,session,title,description,commem
HB1465,2023_2024,2024-RS,NA,Exempts eye glasses and contact lenses from sales tax,0
HB1466,2023_2024,2024-RS,NA,Modifies provisions governing fireworks,0
HB1467,2023_2024,2024-RS,NA,"Changes the assessment cycle for determining the assessed valuation of subclass (1) residential real property from two years to four years, beginning in 2027",0
HB1468,2023_2024,2024-RS,NA,Modifies the duties of the state tax commission,0
HB1469,2023_2024,2024-RS,NA,Enacts provisions establishing an elected city assessor of the City of St. Louis,0
HB1470,2023_2024,2024-RS,NA,Requires the county party committees of Jackson County to elect representatives from districts that are equal in population.,0
HB1471,2023_2024,2024-RS,NA,"Establishes the ""Daylight Saving as New Standard Time Pact""",0
HB1472,2023_2024,2024-RS,NA,"Establishes the ""Protect Elder Realty for Retirement Years Act""",0
HB1473,2023_2024,2024-RS,NA,Requires the county party committees of Jackson County to elect representatives from districts that are equal in population,0
HB1474,2023_2024,2024-RS,NA,Reduces the tax on diapers and feminine hygiene products,0
HB1475,2023_2024,2024-RS,NA,Requires the observation of black history month in school districts,0
HB1476,2023_2024,2024-RS,NA,Modifies provisions relating to ignition interlock device requirements for certain intoxication-related traffic offenses,0
HB1477,2023_2024,2024-RS,NA,"Establishes ""Blair's Law"", which creates the offense of unlawful discharge of a firearm for discharging a firearm within or into the limits of a municipality with criminal negligence",0
HB1478,2023_2024,2024-RS,NA,Establishes provisions relating to money transmission,0
HB1479,2023_2024,2024-RS,NA,Establishes earnings tax opportunity zones,0
HB1480,2023_2024,2024-RS,NA,Incentivizes advanced manufacturing,0
HB1481,2023_2024,2024-RS,NA,Modifies provisions relating to the operation of certain law enforcement agencies,0
HB1482,2023_2024,2024-RS,NA,Modifies provisions relating to civilian oversight boards,0
HB1483,2023_2024,2024-RS,NA,Modifies provisions relating to tax credits for sporting events,0
HB1484,2023_2024,2024-RS,NA,Modifies provisions relating to tobacco product regulations,0
HB1485,2023_2024,2024-RS,NA,Authorizes the establishment of charter school in school districts in St. Louis County,0
HB1486,2023_2024,2024-RS,NA,Changes provisions governing early childhood education programs,0
HB1487,2023_2024,2024-RS,NA,Requires bleeding control kits in all public school and charter school classrooms,0
HB1488,2023_2024,2024-RS,NA,"Authorizes the ""Child Care Contribution Tax Credit Act"", ""Employer-Provided Child Care Assistance Tax Credit Act"", and  ""Child Care Providers Tax Credit Act"", relating to tax credits for child care",0
HB1489,2023_2024,2024-RS,NA,Modifies provisions relating to mail sent by state agencies,0
HB1490,2023_2024,2024-RS,NA,Creates provisions relating to veterans,0
HB1491,2023_2024,2024-RS,NA,Modifies provisions relating to cosmetology,0
HB1492,2023_2024,2024-RS,NA,Enacts provisions relating to gambling boat admission fees,0
HB1493,2023_2024,2024-RS,NA,Modifies provisions relating to tort actions based on improper health care,0
HB1494,2023_2024,2024-RS,NA,"Establishes the ""Uniform Deployed Parents Custody and Visitation Act""",0
HB1495,2023_2024,2024-RS,NA,Tasks the Missouri veterans commission with expanding its efforts to prevent veteran suicide,0
HB1496,2023_2024,2024-RS,NA,"Establishes the ""Operation Enduring Freedom, Operation Freedom's Sentinel and Operation Allies Refuge Program"" which authorizes the issuance of a medallion, medal, and certificate to certain veterans who served in specified conflicts",0
HB1497,2023_2024,2024-RS,NA,Modifies provisions relating to the authority to confer degrees at public institutions of higher education,0
HB1498,2023_2024,2024-RS,NA,Adds improperly transporting or storing a firearm in a motor vehicle to the offense of unlawful use of a weapon,0
HB1499,2023_2024,2024-RS,NA,"Requires a motor vehicle inspection each time a used motor vehicle is sold, regardless of the age or mileage of the vehicle",0
HB1500,2023_2024,2024-RS,NA,Requires the driver and the passengers in a car or truck to wear a safety belt with certain exceptions,0
HB1501,2023_2024,2024-RS,NA,Provides immunity from civil liability for persons who render assistance to animals trapped in motor vehicles,0
HB1502,2023_2024,2024-RS,NA,Requires school districts to provide instruction in cursive writing,0
HB1503,2023_2024,2024-RS,NA,Allows an election authority to randomly select individuals from a cross-section of voter registrations to serve as election judges if there is a shortage of election judges in the authority's jurisdiction,0
HB1504,2023_2024,2024-RS,NA,Allows payments from a candidate or campaign committee to be made via mobile payment services,0
HB1505,2023_2024,2024-RS,NA,"Establishes the ""Missouri Teachers Classroom Supply Assistance Program""",0
HB1506,2023_2024,2024-RS,NA,"Requires the governor to maintain and regularly update a list of each state board, commission, committee, or council that contains members appointed by the governor",0
HB1507,2023_2024,2024-RS,NA,Prohibits car repair businesses from performing any maintenance or repairs on motor vehicles that are not current on registration,0
HB1508,2023_2024,2024-RS,NA,Modifies provisions relating to the protection of unborn children,0
HB1509,2023_2024,2024-RS,NA,Creates provisions relating to the practice of certain licensed professions,0
HB1510,2023_2024,2024-RS,NA,Modifies and establishes offenses involving motor vehicles,0
HB1511,2023_2024,2024-RS,NA,"Requires political subdivisions that require the installation of electric vehicle charging stations at certain businesses to pay the costs associated with the installation, maintenance, and operation of such stations",0
HB1512,2023_2024,2024-RS,NA,Modifies provisions relating to the powers of libraries,0
HB1513,2023_2024,2024-RS,NA,"Establishes the ""Media Literacy and Critical Thinking Act""",0
HB1514,2023_2024,2024-RS,NA,Modifies provisions governing homeowners' association restrictions on pasturing chickens,0
HB1515,2023_2024,2024-RS,NA,Modifies provisions relating to employment and creates new requirements relating to the verification of the immigration status of certain persons,0
HB1516,2023_2024,2024-RS,NA,Modifies provisions relating to the chapter 92 earnings tax,0
HB1517,2023_2024,2024-RS,NA,Modifies provisions relating to tax levies by political subdivisions,0
HB1518,2023_2024,2024-RS,NA,Prohibits public institutions of higher learning from discriminating against a religious student association or denying a religious student association any benefit available to any other student association,0
HB1519,2023_2024,2024-RS,NA,Prohibits discrimination against health care professionals who refuse to assist in medical procedures or treatments relating to sex reassignment or gender identity transitioning,0
HB1520,2023_2024,2024-RS,NA,Modifies provisions relating to gender transition procedures,0
HB1521,2023_2024,2024-RS,NA,"Establishes the ""Defend the Guard Act""",0
HB1522,2023_2024,2024-RS,NA,Modifies provisions relating to the establishment of alternative county highway commissions in certain counties,0
HB1523,2023_2024,2024-RS,NA,Changes provisions relating to student interactions in schools,0
HB1524,2023_2024,2024-RS,NA,Modifies provisions relating to the endangerment of a highway worker,0
HB1525,2023_2024,2024-RS,NA,Modifies provisions relating to elections,0
HB1526,2023_2024,2024-RS,NA,Creates provisions related to certain experimental or investigational medical treatments,0
HB1527,2023_2024,2024-RS,NA,Modifies provisions relating to taxation of vehicles over seven years old,0
HB1528,2023_2024,2024-RS,NA,Modifies provisions relating to child safety seat requirements,0
HB1529,2023_2024,2024-RS,NA,Modifies the offense of endangering the welfare of a child in the second degree,0
HB1530,2023_2024,2024-RS,NA,Modifies provisions relating to motor vehicle safety inspections,0
HB1531,2023_2024,2024-RS,NA,Modifies provisions relating to the liability of employers,0
HB1532,2023_2024,2024-RS,NA,Modifies provisions relating to telemedicine,0
HB1533,2023_2024,2024-RS,NA,Modifies provisions relating to master's social work degree programs,0
HB1534,2023_2024,2024-RS,NA,Modifies provisions relating to qualifications for public office,0
HB1535,2023_2024,2024-RS,NA,Modifies the offense of unlawful possession of a firearm to include any minor possessing a firearm on public property,0
HB1536,2023_2024,2024-RS,NA,Modifies provisions relating to employment modifying work hours on school nights for certain students less than eighteen years of age,0
HB1537,2023_2024,2024-RS,NA,Expands the definition of special victim to include staff members of the division of youth services,0
HB1538,2023_2024,2024-RS,NA,Codifies the public service commission's cold weather shut off moratorium for all electric and gas utilities in the state,0
HB1539,2023_2024,2024-RS,NA,"Imposes a judgment of restitution in the amount of five thousand dollars for human trafficking offenses and establishes the ""Human Trafficking and Sexual Exploitation Fund""",0
HB1540,2023_2024,2024-RS,NA,Modifies sunshine fee provisions for geographical information system data,0
HB1541,2023_2024,2024-RS,NA,Modifies provisions relating to criminal offenses involving a child and statements made by a child or vulnerable person,0
HB1542,2023_2024,2024-RS,NA,Creates provisions relating to insurance coverage in connection with peer-to-peer car sharing programs and delivery network companies,0
HB1543,2023_2024,2024-RS,NA,Modifies the offense of providing explicit sexual material to a student,0
HB1544,2023_2024,2024-RS,NA,Establishes the offenses of delivery of a controlled substance causing great bodily harm and delivery of a controlled substance causing death,0
HB1545,2023_2024,2024-RS,NA,Modifies provisions relating to minimum sentences,0
HB1546,2023_2024,2024-RS,NA,Modifies provisions relating to the towing of certain vehicles or vessels,0
HB1547,2023_2024,2024-RS,NA,Repeals a provision prohibiting voters from allowing their ballots to be seen,0
HB1548,2023_2024,2024-RS,NA,Modifies provisions relating to emergency services,0
HB1549,2023_2024,2024-RS,NA,Creates provisions relating to emergency suspensions or restrictions for massage therapists,0
HB1550,2023_2024,2024-RS,NA,Creates regulations regarding the manufacture of commercial ice,0
HB1551,2023_2024,2024-RS,NA,Updates the uniform commercial code relating to secured transactions,0
HB1552,2023_2024,2024-RS,NA,Modifies provisions relating to Missouri conservation heritage foundation license plates,0
HB1553,2023_2024,2024-RS,NA,Adds an exemption to the sunshine law for state parks records,0
HB1554,2023_2024,2024-RS,NA,Requires the department of natural resources to use at least ten percent of any moneys appropriated for the Rock Island Trail State Park to address adjacent landowner concerns,0
HB1555,2023_2024,2024-RS,NA,Establishes a nonnative invasive plant list and a potentially invasive plant watchlist and gives the department of agriculture authority to maintain and enforce both the list and watchlist,0
HB1556,2023_2024,2024-RS,NA,Modifies provisions relating to solid waste management,0
HB1557,2023_2024,2024-RS,NA,"Establishes the ""MO Task Force on Nonprofit Safety and Security""",0
HB1558,2023_2024,2024-RS,NA,Modifies provisions of law relating to custody of in vitro human embryos,0
HB1559,2023_2024,2024-RS,NA,Establishes provisions governing methods of inducing the death of a dog or a cat,0
HB1560,2023_2024,2024-RS,NA,"Prohibits temporary assistance for needy families (TANF) benefit cards from being used at ATMs or to access cash, and limits the items that may be purchased with TANF benefits",0
HB1561,2023_2024,2024-RS,NA,Modifies provisions relating to certified registered nurse anesthetists,0
HB1562,2023_2024,2024-RS,NA,"Designates the last Saturday of April each year as ""Emmett Kelly Day"" in Missouri",1
HB1563,2023_2024,2024-RS,NA,"Prohibits public funds from being expended to any abortion facility, or affiliate or associate thereof, including for MO HealthNet reimbursement, and modifies provisions relating to MO HealthNet providers",0
HB1564,2023_2024,2024-RS,NA,Modifies provisions relating to certain local taxes,0
HB1565,2023_2024,2024-RS,NA,Modifies provisions relating to holiday leave from work for alternative work schedules,0
HB1566,2023_2024,2024-RS,NA,Designates several memorial bridges and highways,1
HB1567,2023_2024,2024-RS,NA,Authorizes municipalities to use the principal of perpetual care cemetery funds for cemetery care and maintenance,0
HB1568,2023_2024,2024-RS,NA,Modifies provisions governing school employee training requirements,0
HB1569,2023_2024,2024-RS,NA,Support for students attending institutions of higher education,0
HB1570,2023_2024,2024-RS,NA,Establishes the offense of unlawful tracking of a motor vehicle,0
HB1571,2023_2024,2024-RS,NA,Changes the laws regarding the foreign ownership of agricultural land,0
HB1572,2023_2024,2024-RS,NA,Modifies provisions relating to county health officers,0
HB1573,2023_2024,2024-RS,NA,Modifies provisions relating to exemptions from the maximum number of children allowed within child care homes,0
HB1574,2023_2024,2024-RS,NA,Prohibits the state librarian from disbursing funds to libraries that offer obscene materials to children,0
HB1575,2023_2024,2024-RS,NA,Exempts political subdivisions with fewer than five hundred inhabitants from fines levied for late filings of annual financial statements,0
HB1576,2023_2024,2024-RS,NA,Requires instruction on human sexuality and development in schools,0
HB1577,2023_2024,2024-RS,NA,"Allows the chief law enforcement executive in any jurisdiction to request assistance from another jurisdiction, including a jurisdiction outside the state of Missouri",0
HB1578,2023_2024,2024-RS,NA,Requires in-state public educational institutions to grant undergraduate course credit for students who score 4 or higher on international baccalaureate examinations,0
HB1579,2023_2024,2024-RS,NA,Changes the laws regarding the taxation of feminine hygiene products and diapers,0
HB1580,2023_2024,2024-RS,NA,Modifies provisions relating to school buses,0
HB1581,2023_2024,2024-RS,NA,Modifies provisions relating to corporal punishment in schools,0
HB1582,2023_2024,2024-RS,NA,Modifies provisions relating to judgments against parents due to conduct of children,0
HB1583,2023_2024,2024-RS,NA,Requires a notice of intent to excavate to the department of natural resources to check whether the excavation is in a site contaminated with hazardous waste,0
HB1584,2023_2024,2024-RS,NA,"Establishes the ""Biometric Information Privacy Act""",0
HB1585,2023_2024,2024-RS,NA,Creates provisions relating to the cost of insulin,0
HB1586,2023_2024,2024-RS,NA,Allows certain medications in multidose containers used by a patient during a hospital stay to be sent with the patient at discharge,0
HB1587,2023_2024,2024-RS,NA,"Modifies provisions for ""paid for by"" statements on political advertisements",0
HB1588,2023_2024,2024-RS,NA,"Establishes the ""Seventh Amendment Preservation Act""",0
HB1589,2023_2024,2024-RS,NA,Expands the definition of special victim to include sports officials at a sporting event and limits civil liability for sports officials,0
HB1590,2023_2024,2024-RS,NA,Establishes the offenses of harassment of a school or recreation athletic official and entry or remaining on site of a school or recreation athletic contest after being forbidden,0
HB1591,2023_2024,2024-RS,NA,Prohibits certain discriminatory practices on the basis of hair texture and protective hairstyles,0
HB1592,2023_2024,2024-RS,NA,Requires insurance coverage for childbirth education classes,0
HB1593,2023_2024,2024-RS,NA,"Designates June as ""Immigrant Heritage Month""",1
HB1594,2023_2024,2024-RS,NA,"Designates October second each year as ""Wrongful Conviction Day""",1
HB1595,2023_2024,2024-RS,NA,"Designates December first each year as ""Freeman Bosley, Sr. Day""",1
HB1596,2023_2024,2024-RS,NA,Adds provisions relating to a landlord failing to remedy a condition that would materially affect the health and safety of a tenant,0
HB1597,2023_2024,2024-RS,NA,Creates a civil cause of action allowing claimants to seek damages from the state for wrongful conviction,0
HB1598,2023_2024,2024-RS,NA,Requires election authorities to provide Braille ballots on request,0
HB1599,2023_2024,2024-RS,NA,Establishes the Missouri Dignity in Pregnancy and Childbirth Act,0
HB1600,2023_2024,2024-RS,NA,Creates provisions relating to maternal care,0
HB1601,2023_2024,2024-RS,NA,Contains provisions relating to law enforcement officer accountability,0
HB1602,2023_2024,2024-RS,NA,Establishes provisions relating to civil actions brought against peace officers,0
HB1603,2023_2024,2024-RS,NA,Modifies provisions for voter qualifications,0
HB1604,2023_2024,2024-RS,NA,Modifies the deadline for filing a declaration of candidacy,0
HB1605,2023_2024,2024-RS,NA,Modifies provisions relating to certificates of need,0
HB1606,2023_2024,2024-RS,NA,Provides a sales tax exemption for certain used tangible personal property,0
HB1607,2023_2024,2024-RS,NA,Prohibits the state from participating in Daylight Saving Time unless federal law is modified,0
HB1608,2023_2024,2024-RS,NA,Makes county prosecutors state employees,0
HB1609,2023_2024,2024-RS,NA,"Establishes the ""Preserving Freedom from Unwarranted Surveillance Act"" and modifies provisions relating to the use of unmanned aircraft",0
HB1610,2023_2024,2024-RS,NA,Establishes provisions relating to law enforcement officers or employees of a state agency or political subdivision surveilling or entering private property,0
HB1611,2023_2024,2024-RS,NA,Modifies provisions relating to background checks for concealed carry permits,0
HB1612,2023_2024,2024-RS,NA,Authorizes expansion of regional jail districts upon voter approval,0
HB1613,2023_2024,2024-RS,NA,"Repeals provisions establishing the ""Vehicle Equipment Safety Compact""",0
HB1614,2023_2024,2024-RS,NA,Repeals the motor vehicle seat belt requirement,0
HB1615,2023_2024,2024-RS,NA,"Changes the definition of ""qualified student"" for purposes of Missouri empowerment scholarship accounts",0
HB1616,2023_2024,2024-RS,NA,Modifies provisions relating to the rights of unborn children,0
HB1617,2023_2024,2024-RS,NA,Modifies provisions relating to civil actions for childhood sexual abuse,0
HB1618,2023_2024,2024-RS,NA,"Creates the"" Digital Fair Repair Act"" that allows authorized individuals or businesses access to information, parts, and tools to perform independent repairs on equipment",0
HB1619,2023_2024,2024-RS,NA,This bill relates to state designations,0
HB1620,2023_2024,2024-RS,NA,Allows the house of representatives to review presidential orders and declare them unconstitutional,0
HB1621,2023_2024,2024-RS,NA,Requires public water systems and public water supply districts that intend to start or stop fluoridation of their water supply on a continuing basis to seek and receive information about the impact of fluoridation from the local health department,0
HB1622,2023_2024,2024-RS,NA,Creates provisions relating to workforce development investments of public utilities,0
HB1623,2023_2024,2024-RS,NA,Requires public schools to establish the general municipal election day and the general election day as a school holiday,0
HB1624,2023_2024,2024-RS,NA,Designates cashew chicken as the official dish of the state of Missouri,1
HB1625,2023_2024,2024-RS,NA,Prohibits the state from participating in Daylight Saving Time unless federal law is modified,0
HB1626,2023_2024,2024-RS,NA,Modifies provisions relating to school bus endorsements,0
HB1627,2023_2024,2024-RS,NA,Creates provisions relating to payments for prescription drugs,0
HB1628,2023_2024,2024-RS,NA,Creates provisions relating to cost-sharing under health benefit plans,0
HB1629,2023_2024,2024-RS,NA,Eliminates the term limit for the director of the Missouri ethics commission,0
HB1630,2023_2024,2024-RS,NA,Modifies provisions relating to the salaries of circuit clerks,0
HB1631,2023_2024,2024-RS,NA,Authorizes a tax credit for a stillbirth,0
HB1632,2023_2024,2024-RS,NA,Establishes provisions relating to insurance coverage for insulin drugs and epinephrine auto-injectors,0
HB1633,2023_2024,2024-RS,NA,Adds estimated costs and settlement claims to the required information for the Missouri accountability portal,0
HB1634,2023_2024,2024-RS,NA,Modifies provisions relating to the Kansas City area transportation authority,0
HB1635,2023_2024,2024-RS,NA,Changes the laws regarding cities of the fourth classification,0
HB1636,2023_2024,2024-RS,NA,"Modifies provisions related to the ""circuit breaker"" property tax credit, reenacts the ""Missouri Homestead Preservation Tax Credit Program"", and implements a homestead exemption for certain individuals",0
HB1637,2023_2024,2024-RS,NA,Requires utilities to reimburse for customer losses due to power outages,0
HB1638,2023_2024,2024-RS,NA,Provides that a grandparent shall be given priority if it is in the best interest of the child to be placed in the custody of a third party,0
HB1639,2023_2024,2024-RS,NA,"Establishes the ""Motivational Boot Camp Incarceration Program"" in the department of corrections and allows certain persons to be sentenced to the program",0
HB1640,2023_2024,2024-RS,NA,Modifies penalties relating to criminal offenses involving the custody of children,0
HB1641,2023_2024,2024-RS,NA,Modifies provisions relating to guardianships and conservatorships,0
HB1642,2023_2024,2024-RS,NA,Provides that the court shall not order a parent to pay child support to the other parent for reasonable or necessary expenses of the child if the parents are awarded equal time with the child,0
HB1643,2023_2024,2024-RS,NA,Establishes a one-time one year period to set up payment plans for unpaid vehicle sales tax,0
HB1644,2023_2024,2024-RS,NA,Modifies provisions relating to the custody and support of children,0
HB1645,2023_2024,2024-RS,NA,Requires particular topics to be included in history curriculum in grades seven to twelve,0
HB1646,2023_2024,2024-RS,NA,Requires the state board of education to provide for a transition to a special administrative board for certain unaccredited school districts,0
HB1647,2023_2024,2024-RS,NA,Changes provisions relating to charter school funding and state pupil transportation aid,0
HB1648,2023_2024,2024-RS,NA,Creates incentive programs for public employees,0
HB1649,2023_2024,2024-RS,NA,Modifies provisions relating to campaign finance,0
HB1650,2023_2024,2024-RS,NA,Modifies provisions relating to sexually oriented businesses,0
HB1651,2023_2024,2024-RS,NA,"Establishes the ""Anti-Red Flag Gun Seizure Act""",0
HB1652,2023_2024,2024-RS,NA,Establishes the offense of organized retail theft,0
HB1653,2023_2024,2024-RS,NA,Modifies the offense of making a false report,0
HB1654,2023_2024,2024-RS,NA,Establishes provisions relating to diversion for criminal cases involving driving under the influence of alcohol,0
HB1655,2023_2024,2024-RS,NA,"Establishes procedures for a violent offender registry, which will include any person on probation or parole for first or second degree murder",0
HB1656,2023_2024,2024-RS,NA,Modifies provisions relating to bankruptcy exemptions,0
HB1657,2023_2024,2024-RS,NA,Modifies provisions relating to property exempt from attachment and execution,0
HB1658,2023_2024,2024-RS,NA,Creates exceptions for the release of public records relating to the death of a law enforcement officer in the line of duty,0
HB1659,2023_2024,2024-RS,NA,Modifies provisions relating to criminal laws,0
HB1660,2023_2024,2024-RS,NA,Modifies and establishes provisions relating to the  prevention of child abductions,0
HB1661,2023_2024,2024-RS,NA,"Designates July 16 each year as ""Atomic Veterans Day""",1
