Date,State,Bill No,Title,Action
"Feb. 19, 2024",WA,HB 1893,Authorizes Employees on Strike or Lockout Access to Unemployment Insurance,"Bill Passed
                           - House
                      

                      
                          (53 - 44)"
"Feb. 13, 2024",WA,SB 6092,Establishes New Regulations for Greenhouse Gas Emissions,"Bill Passed
                           - Senate
                      

                      
                          (30 - 19)"
"Feb. 13, 2024",WA,HB 2114,Establishes a 7% Rent Increase Cap Per Year,"Bill Passed
                           - House
                      

                      
                          (54 - 43)"
"Feb. 13, 2024",WA,SB 6242,Increases State Funding for Law Enforcement Training,"Bill Passed
                           - Senate
                      

                      
                          (49 - 0)"
"Feb. 13, 2024",WA,SB 5906,Requires the Department of Health to Develop a Drug Overdose Prevention Campaign,"Bill Passed
                           - Senate
                      

                      
                          (49 - 0)"
"Feb. 9, 2024",WA,HB 1889,Repeals Citizenship Requirements to Work for Undocumented Immigrants Seeking Professional Licenses,"Bill Passed
                           - House
                      

                      
                          (66 - 31)"
"Feb. 8, 2024",WA,HB 1391,Establishes Clean Energy Incentives from the Climate Commitment Act for Construction of New Clean Energy Buildings,"Bill Passed
                           - House
                      

                      
                          (58 - 39)"
"Feb. 8, 2024",WA,HB 1932,Authorizes Local Governments to Amend Their General Elections to Even-Numbered Years When Voter Turnout is High,"Bill Passed
                           - House
                      

                      
                          (52 - 45)"
"Feb. 8, 2024",WA,SB 5849,Establishes Computer Science Competency as a High School Graduation Requirement,"Bill Passed
                           - Senate
                      

                      
                          (46 - 3)"
"Feb. 8, 2024",WA,SB 5241,Amends and Regulates State Hospital Mergers,"Bill Passed
                           - Senate
                      

                      
                          (28 - 21)"
"Feb. 7, 2024",WA,HB 1958,Prohibits Nonconsensual Removal or Tampering of a Condom or Other Sexually Protective Device,"Bill Passed
                           - House
                      

                      
                          (64 - 33)"
"Feb. 7, 2024",WA,SB 5778,Prohibits Employers from Requiring Workers to Attend Captive Audience Meetings,"Bill Passed
                           - Senate
                      

                      
                          (28 - 20)"
"Feb. 7, 2024",WA,SB 5427,Establishes a Statewide Hate Crimes Hotline Within the Attorney General's Office,"Bill Passed
                           - Senate
                      

                      
                          (30 - 18)"
"Feb. 7, 2024",WA,SB 6298,Requires Clergy Members to be Mandatory Reporters of Child Abuse or Neglect,"Bill Passed
                           - Senate
                      

                      
                          (44 - 5)"
"Feb. 6, 2024",WA,HB 1579,Establishes State Prosecution Office with the Authority to Charge Police for Deadly Use of Force,"Bill Passed
                           - House
                      

                      
                          (53 - 44)"
"Feb. 6, 2024",WA,SB 5935,Limits Non-Competition Contracts for Workers in the State,"Bill Passed
                           - Senate
                      

                      
                          (29 - 20)"
"Feb. 1, 2024",WA,SB 5804,Requires Schools keep Opoid Overdose Reversal Medication,"Bill Passed
                           - Senate
                      

                      
                          (49 - 0)"
"Feb. 1, 2024",WA,SB 5985,Amends Firearms Background Check Program,"Bill Passed
                           - Senate
                      

                      
                          (29 - 20)"
"Feb. 1, 2024",WA,SB 5841,Requires Individuals Convicted Driving Under the Influence to Pay Financial Support to Minor Children,"Bill Passed
                           - Senate
                      

                      
                          (49 - 0)"
"Jan. 31, 2024",WA,SB 5913,"Authorizes Name, Image, and Likeness Usage by Student Athletes","Bill Passed
                           - Senate
                      

                      
                          (47 - 1)"
"Jan. 29, 2024",WA,HB 1368,Appropriates $80 Million from the Climate Commitment Act for Electric School Bus Purchases,"Bill Passed
                           - House
                      

                      
                          (58 - 39)"
"Jan. 22, 2024",WA,HB 1589,Prohibits Any New Natural Gas Line Construction in the State,"Bill Passed
                           - House
                      

                      
                          (52 - 45)"
"Jan. 8, 2024",WA,HB 1455,Prohibits Child Marriage in the State,"Bill Passed
                           - House
                      

                      
                          (98 - 0)"
"Jan. 8, 2024",WA,HB 1012,Requires the Military Department Develop an Extreme Weather Response Grant Program,"Bill Passed
                           - House
                      

                      
                          (68 - 30)"
"Jan. 8, 2024",WA,HB 1245,Authorizes Lot Splitting for Single Residential Lots,"Bill Passed
                           - House
                      

                      
                          (94 - 4)"
