Date,State,Bill No,Title,Action
"July 1, 2025",NJ,S 3910,Establishes The New Jersey Universal Preschool and Kindergarten Act,"Bill Passed
                           - House
                      

                      
                          (53 - 25)"
"June 30, 2025",NJ,S 862,Requires the Department of Transportation to Include Information about Potholes and Pothole Repair Projects in its Annual Roadway Pavement System Report,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 4085,Authorizes Natural Organic Reduction and Controlled Supervised Decomposition of Human Remains,"Concurrence Vote Passed
                           - House
                      

                      
                          (79 - 1)"
"June 30, 2025",NJ,A 1675,Amends the Standards for Pension Reduction for Retired State Employees,"Concurrence Vote Passed
                           - House
                      

                      
                          (69 - 9)"
"June 30, 2025",NJ,S 3309,Expands Requirements for Car Dealerships to Track and Inform Customers of Recalls Prior to Sale,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (38 - 0)"
"June 30, 2025",NJ,S 4467,Authorizes the New Jersey Infrastructure Bank to Expand Sums to Make Loans for Environmental Infrastructure Projects in Fiscal Year 2026,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 5563,"Establishes a ""Summer Termination Program"" for Certain Utility Customers","Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 11)"
"June 30, 2025",NJ,A 3035,Prohibits Vehicles From Being Parked in Electric Vehicle Charging Spaces if They are Not Being Charged,"Concurrence Vote Passed
                           - House
                      

                      
                          (56 - 24)"
"June 30, 2025",NJ,S 3132,Establishes Regulations for Secondhand Dealers of Cellphones,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,S 2783,Establishes Regulations for Travel Insurance,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (37 - 0)"
"June 30, 2025",NJ,A 4429,Prohibits Captive Audience Meetings Relating to Employee Unionization,"Concurrence Vote Passed
                           - House
                      

                      
                          (66 - 4)"
"June 30, 2025",NJ,A 1682,Requires Labor Movement History be Included in Social Studies Curriculum for Grades 6-12,"Concurrence Vote Passed
                           - House
                      

                      
                          (76 - 3)"
"June 30, 2025",NJ,A 2390,Specifies that Grant Preferences Given to Municipalities that Meet Housing Requirements Do Not Apply to Municipalities Seeking to Meet Those Requirements,"Concurrence Vote Passed
                           - House
                      

                      
                          (54 - 25)"
"June 30, 2025",NJ,A 5267,Requires the Board of Public Utilities to Establish an Incentive Program for the Development of Transmission-Scale Energy Storage Systems,"Concurrence Vote Passed
                           - House
                      

                      
                          (54 - 23)"
"June 30, 2025",NJ,S 4530,Requires The Board of Public Utilities to Revise Community Solar Program Targets,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (26 - 13)"
"June 30, 2025",NJ,A 5267,Requires the Board of Public Utilities to Establish an Incentive Program for the Development of Transmission-Scale Energy Storage Systems,"Bill Passed
                           - Senate
                      

                      
                          (25 - 14)"
"June 30, 2025",NJ,S 4530,Requires The Board of Public Utilities to Revise Community Solar Program Targets,"Bill Passed
                           - House
                      

                      
                          (56 - 23)"
"June 30, 2025",NJ,A 3802,Establishes Differences Between Certain Legal Services and Traditional Insurance Products,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 5309,Authorizes up to Three Credits of Continuing Medical Education on Menopause to be Used by Advanced Practice Nurses and Physicians for License Renewal,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 1682,Requires Labor Movement History be Included in Social Studies Curriculum for Grades 6-12,"Bill Passed
                           - Senate
                      

                      
                          (35 - 3)"
"June 30, 2025",NJ,A 4085,Authorizes Natural Organic Reduction and Controlled Supervised Decomposition of Human Remains,"Bill Passed
                           - Senate
                      

                      
                          (37 - 2)"
"June 30, 2025",NJ,A 2929,Requires Disclosure of Lead Drinking Water Hazards to Tenants of Residential Units and Prohibits Landlords from Obstructing Replacement of Lead Service Lines,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 4429,Prohibits Captive Audience Meetings Relating to Employee Unionization,"Bill Passed
                           - Senate
                      

                      
                          (38 - 1)"
"June 30, 2025",NJ,S 1403,Requires Employers or Contractors Engaged in Work for a Public Body to Submit Payroll Records to the Department of Labor and Workforce Development,"Bill Passed
                           - House
                      

                      
                          (61 - 15)"
"June 30, 2025",NJ,A 5563,"Establishes a ""Summer Termination Program"" for Certain Utility Customers","Bill Passed
                           - Senate
                      

                      
                          (25 - 14)"
"June 30, 2025",NJ,A 4971,Requires EDA to Provide Grants to Small Businesses Affected by State Infrastructure and Construction Projects,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 5857,Authorizes State Treasurer to Sell as Surplus Property Certain Land and Improvements in City of Trenton and Township of Lawrence in Mercer County,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 4603,Authorizes Commercial Farmers to be Awarded Legal Fees for Defending Against Bad Faith Complaints,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 4331,Establishes a Licensing System for Cosmetic Retail Services,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 4712,Establishes the Office of Veteran Advocate and Ombudsman for DMVA and Appropriates Funds,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 5130,Requires the Enforcing Agency to Conduct an Inspection of Construction Within a Specified Time Window,"Bill Passed
                           - Senate
                      

                      
                          (37 - 2)"
"June 30, 2025",NJ,A 5049,Repeals Certain Limitations on Receipt of Retirement or Death Benefits,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,A 5264,Requires the Establishment of an Automated Platform to Expedite Approval to Build Residential Solar Units,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,S 317,Amends the Athletic Training Licensure Act to Authorize Athletic Trainers to Provide Care to More Individuals,"Bill Passed
                           - House
                      

                      
                          (77 - 2)"
"June 30, 2025",NJ,S 2026,Appropriates $58 Billion in State Funds and $31 Billion in Federal Funds for the State Budget for Fiscal Year 2026,"Bill Passed
                           - House
                      

                      
                          (52 - 27)"
"June 30, 2025",NJ,A 5447,Prohibits Sweepstakes Model of Wagering,"Bill Passed
                           - Senate
                      

                      
                          (34 - 5)"
"June 30, 2025",NJ,A 5688,Establishes a New Hotel Tax to Fund Municipal Fire Departments,"Bill Passed
                           - Senate
                      

                      
                          (30 - 8)"
"June 30, 2025",NJ,S 4376,Amends and Restructures the Department of Military and Veterans Affairs,"Bill Passed
                           - House
                      

                      
                          (72 - 0)"
"June 30, 2025",NJ,A 3424,Establishes Program Requirements for School Counselor Certification,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,S 3773,Specifies that a Client Company is Solely Responsible for Complying with the Reporting Requirements Concerning a Separation from Employment Imposed by Employers,"Bill Passed
                           - House
                      

                      
                          (66 - 12)"
"June 30, 2025",NJ,S 4377,Authorizes New Jersey Infrastructure Bank to Expend Sums to Make Loans for Financing Transportation Infrastructure Projects,"Bill Passed
                           - House
                      

                      
                          (79 - 0)"
"June 30, 2025",NJ,S 4618,Amends Requirements and Availability of the Film and Digital Media Tax Credit Program,"Bill Passed
                           - House
                      

                      
                          (63 - 16)"
"June 30, 2025",NJ,S 4506,Exempts Minor League Baseball Players from State Wage Laws Under Certain Circumstances,"Bill Passed
                           - House
                      

                      
                          (78 - 1)"
"June 30, 2025",NJ,A 4954,Requires Members of Historic Preservation Commissions to Take a Historic Preservation Planning Course,"Bill Passed
                           - Senate
                      

                      
                          (31 - 6)"
"June 30, 2025",NJ,S 2335,Requires School Districts to Provide Instruction on the History of Latinos and Hispanics as Part of Implementation of New Jersey Student Learning Standards,"Bill Passed
                           - House
                      

                      
                          (73 - 1)"
"June 30, 2025",NJ,S 4376,Amends and Restructures the Department of Military and Veterans Affairs,"Bill Passed
                           - Senate
                      

                      
                          (32 - 6)"
"June 30, 2025",NJ,A 5447,Prohibits Sweepstakes Model of Wagering,"Bill Passed
                           - House
                      

                      
                          (69 - 10)"
"June 30, 2025",NJ,S 3910,Establishes The New Jersey Universal Preschool and Kindergarten Act,"Bill Passed
                           - Senate
                      

                      
                          (28 - 10)"
"June 30, 2025",NJ,S 4506,Exempts Minor League Baseball Players from State Wage Laws Under Certain Circumstances,"Bill Passed
                           - Senate
                      

                      
                          (39 - 0)"
"June 30, 2025",NJ,S 4451,Specifies Requirements for Land Use and Housing Plan Elements of the Municipal Master Plan,"Bill Passed
                           - Senate
                      

                      
                          (23 - 14)"
"June 30, 2025",NJ,A 5049,Repeals Certain Limitations on Receipt of Retirement or Death Benefits,"Bill Passed
                           - House
                      

                      
                          (80 - 0)"
"June 30, 2025",NJ,S 4618,Amends Requirements and Availability of the Film and Digital Media Tax Credit Program,"Bill Passed
                           - Senate
                      

                      
                          (30 - 4)"
"June 30, 2025",NJ,A 5688,Establishes a New Hotel Tax to Fund Municipal Fire Departments,"Bill Passed
                           - House
                      

                      
                          (49 - 30)"
"June 30, 2025",NJ,S 2026,Appropriates $58 Billion in State Funds and $31 Billion in Federal Funds for the State Budget for Fiscal Year 2026,"Bill Passed
                           - Senate
                      

                      
                          (26 - 13)"
"June 2, 2025",NJ,S 3961,Requires No-Fee Options for Parents to Make School Lunch and Other Payments,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (38 - 0)"
