people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
24245,"Laura Terech",Laura,,Terech,,,1,D,1,Rep,HD-004,55437886,205579,,Laura_Terech,0,0
24246,"Anastasia Travers",Anastasia,,Travers,,Stacey,1,D,1,Rep,HD-012,55437914,205596,,Anastasia_Travers,0,0
24247,"Seth Blattman",Seth,,Blattman,,,1,D,1,Rep,HD-009,49622936,192511,,Seth_Blattman,0,0
24248,"Consuelo Hernandez",Consuelo,,Hernandez,,,1,D,1,Rep,HD-021,55437947,205621,,Consuelo_Hernandez,0,0
24249,"Cory McGarr",Cory,,McGarr,,,2,R,1,Rep,HD-017,55437932,205608,,Cory_McGarr,0,0
24250,"Barbara Parker",Barbara,,Parker,,,2,R,1,Rep,HD-010,49752839,205586,,Barbara_Parker_(Arizona),0,0
24251,"Michele Pena",Michele,,Pena,,,2,R,1,Rep,HD-023,56954604,210264,,Michele_Pena,0,0
24252,"Leezah Sun",Leezah,,Sun,,,1,D,1,Rep,HD-022,55437952,192547,,Leezah_Sun,0,0
24253,"Priya Sundareshan",Priya,,Sundareshan,,,1,D,2,Sen,SD-018,55437853,0,,Priya_Sundareshan,0,0
24254,"David Marshall",David,,Marshall,,,2,R,1,Rep,HD-007,55437895,205581,,David_Marshall_(Arizona),0,0
24255,"Anna Hernandez",Anna,,Hernandez,,,1,D,2,Sen,SD-024,55437859,205561,,Anna_Hernandez,0,0
24370,"Michael Carbone",Michael,,Carbone,,,2,R,1,Rep,HD-025,55437960,205630,,Michael_Carbone,0,0
24371,"Justine Wadsack",Justine,,Wadsack,,,2,R,2,Sen,SD-017,55437850,192497,,Justine_Wadsack,0,0
24497,"Eva Diaz",Eva,,Diaz,,,1,D,2,Sen,SD-022,56954593,0,,Eva_Diaz,821647,0
24498,"Mae Peshlakai",Jamescita,,Peshlakai,,Mae,1,D,1,Rep,HD-006,55437891,141360,,Mae_Peshlakai,808745,0
24939,"Julie Willoughby",Julie,,Willoughby,,,2,R,1,Rep,HD-013,49746279,184592,,Julie_Willoughby,0,0
24946,"Quanta Crews",Quanta,,Crews,,,1,D,1,Rep,HD-026,0,0,,Quanta_Crews,0,0
24950,"Betty Villegas",Betty,J.,Villegas,,,1,D,1,Rep,HD-020,45361940,0,,,0,0
