bill_id,term,session,title,commem
HB0071,2023_2024,2023-RS,PROHIBIT MODIFIED MUFFLERS,0
HB0072,2023_2024,2023-RS,POSSESSION OF SEMIAUTOMATIC FIREARM CONVERTER,0
HB0073,2023_2024,2023-RS,BIOMARKER TESTING INSURANCE REQUIREMENTS,0
HB0074,2023_2024,2023-RS,PRETRIAL DETENTION HEARINGS,0
HB0075,2023_2024,2023-RS,CHIROPRACTIC SERVICES INSURANCE COVERAGE,0
HB0076,2023_2024,2023-RS,JUDICIAL EDUCATION SVCS FUND & ADMIN,0
HB0077,2023_2024,2023-RS,METEOROLOGICAL TOWER PAINT & MARKINGS,0
HB0078,2023_2024,2023-RS,AVIATION FUND GRT DISTRIBUTION SUNSET,0
HB0079,2023_2024,2023-RS,3-YEAR INSURANCE PREMIUM RATE HEARINGS,0
HB0080,2023_2024,2023-RS,TERMINATION OF STATES OF EMERGENCY,0
HB0081,2023_2024,2023-RS,INDEX MODIFIED GROSS INCOME AMOUNTS,0
HB0082,2023_2024,2023-RS,STUDENT LOAN BILL OF RIGHTS ACT,0
HB0083,2023_2024,2023-RS,PODIATRY LICENSURE CHANGES,0
HB0084,2023_2024,2023-RS,VOTER REGISTRATION AFTER PROPERTY TRANSFER,0
HB0085,2023_2024,2023-RS,PUBLIC SCHOOL REDISTRICTING,0
HB0086,2023_2024,2023-RS,VOTER EDUCATION AND ELECTIONS TASK FORCE,0
HB0087,2023_2024,2023-RS,REMOVE VOLUNTEER FIRE & EMT FROM PUBLIC BODY,0
HB0088,2023_2024,2023-RS,MEDICAL MALPRACTICE DAMAGES CAP,0
HB0089,2023_2024,2023-RS,OIL & GAS DIVIDENDS TAX REBATES,0
HB0090,2023_2024,2023-RS,CONTROLLABLE ELECTRONIC RECORDS,0
HB0091,2023_2024,2023-RS,NATURAL RESOURCES TRUSTEE CHANGES,0
HB0092,2023_2024,2023-RS,RESIDENTIAL TREATMENT SERVICES FUNDING,0
HB0093,2023_2024,2023-RS,PHARMACY ACT & BOARD OF PHARMACY CHANGES,0
HB0094,2023_2024,2023-RS,PROHIBITING SALE OF FLAVORED TOBACCO PRODUCTS,0
HB0095,2023_2024,2023-RS,RENEWABLE ENERGY OFFICE IN STATE LAND OFFICE,0
HB0096,2023_2024,2023-RS,COMBINED CYCLE NATURAL GAS AS RENEWABLE,0
HB0097,2023_2024,2023-RS,OUTSTANDING WARRANTS BACKLOG FUNDING,0
HB0098,2023_2024,2023-RS,REINSTATING QUALIFIED IMMUNITY,0
HB0099,2023_2024,2023-RS,STATEWIDE ARTS SCHOOL DORMITORY FUND,0
HB0100,2023_2024,2023-RS,WAITING PERIOD FOR FIREARM SALES,0
HB0101,2023_2024,2023-RS,LARGE-CAPACITY MAGAZINES & ASSAULT WEAPONS,0
HB0102,2023_2024,2023-RS,HEALTH CARE INSURANCE FOR EDUCATORS,0
HB0103,2023_2024,2023-RS,CAMPAIGN REPORTING ACT CHANGES,0
HB0104,2023_2024,2023-RS,BEHAVIORAL & MENTAL HEALTH CLINIC SUPERVISION,0
HB0105,2023_2024,2023-RS,FREIGHT LOCOMOTIVE PERSONNEL REQUIREMENTS,0
HB0106,2023_2024,2023-RS,INCREASE PUBLIC EMPLOYEE PENSION MAX,0
HB0107,2023_2024,2023-RS,REPEAL OPPORTUNITY SCHOLARSHIP ACT,0
HB0108,2023_2024,2023-RS,TRANSFER OF CERTAIN SCHOOL STUDENTS,0
HB0109,2023_2024,2023-RS,REPEAL NM CIVIL RIGHTS ACT,0
HB0110,2023_2024,2023-RS,VOTER ID REQUIREMENTS,0
HB0111,2023_2024,2023-RS,HOLOCAUST AND GENOCIDE STUDIES ACT,0
HB0112,2023_2024,2023-RS,PUBLIC SCHOOL WELLNESS ROOM PILOT PROJECT,0
HB0113,2023_2024,2023-RS,MAGISTRATE COURT CHANGES,0
HB0114,2023_2024,2023-RS,APPRENTICESHIP PROGRAMS,0
HB0115,2023_2024,2023-RS,HOME INSPECTOR LICENSING EXAMINATION CHANGES,0
HB0116,2023_2024,2023-RS,ACTIVE DUTY NAT'L GUARD AS STATE EMPLOYEES,0
HB0117,2023_2024,2023-RS,TITLE TRANSFER ELECTRONIC SIGNATURES,0
HB0118,2023_2024,2023-RS,CREATE OFFICE OF ENTREPRENEURSHIP,0
HB0119,2023_2024,2023-RS,INCOME TAX BRACKET CHANGES,0
HB0120,2023_2024,2023-RS,LIMIT CAPITAL GAINS TAX DEDUCTION,0
HB0121,2023_2024,2023-RS,WATER RIGHT LEASE EFFECTIVE DATE,0
HB0122,2023_2024,2023-RS,STORAGE OF CERTAIN RADIOACTIVE WASTE,0
HB0123,2023_2024,2023-RS,TOBACCO TAX RATES & DEFINITIONS,0
HB0124,2023_2024,2023-RS,TOBACCO TAX RATES & DEFINITIONS,0
HB0125,2023_2024,2023-RS,SCHOOL DUAL CREDIT TASK FORCE,0
HB0126,2023_2024,2023-RS,SCHOOL GRADUATION REQUIREMENTS,0
HB0127,2023_2024,2023-RS,EDUCATION ASSISTANT SALARY INCREASE,0
HB0128,2023_2024,2023-RS,CHEMICAL CASTRATION OF SOME SEX OFFENDERS,0
HB0129,2023_2024,2023-RS,MONITORING OF CYFD CUSTODY CHILDREN,0
HB0130,2023_2024,2023-RS,K-12 PLUS PROGRAM,0
HB0131,2023_2024,2023-RS,PROSTHETIC & CUSTOM ORTHOTIC DEVICE COVERAGE,0
HB0132,2023_2024,2023-RS,MAIL-ORDER & COMMUNITY PHARMACY ACCESS,0
HB0133,2023_2024,2023-RS,RECRUIT SEXUAL ASSAULT SERVICE PROVIDERS,0
HB0134,2023_2024,2023-RS,MENSTRUAL PRODUCTS IN SCHOOL BATHROOMS,0
HB0135,2023_2024,2023-RS,CHILD ADVOCACY CENTER FUNDING,0
HB0136,2023_2024,2023-RS,HUMAN PAPILLOMAVIRUS PAP REGISTRY,0
HB0137,2023_2024,2023-RS,GRT DEDUCTIONS FOR CHILD CARE ASSISTANCE,0
HB0138,2023_2024,2023-RS,FLEXIBILITY IN FINE AND FEE PAYMENTS,0
HB0139,2023_2024,2023-RS,ELIMINATING COURT FEES,0
HB0140,2023_2024,2023-RS,TRIBAL EDUCATION TRUST FUND,0
HB0141,2023_2024,2023-RS,CONCERNS OF POLICE SURVIVORS LICENSE PLATE,0
HB0142,2023_2024,2023-RS,GENERATING FACILITY AND MINE REMEDIATION,0
HB0143,2023_2024,2023-RS,SCHOOL BOARD GOVERNANCE REQUIREMENTS,0
HB0144,2023_2024,2023-RS,INCREASE CERTAIN CHILD INCOME TAX CREDIT,0
HB0145,2023_2024,2023-RS,NMMI LEGISLATIVE SCHOLARSHIP PROGRAM,0
HB0146,2023_2024,2023-RS,PRIORITIZING NMMI BARRACKS FUNDING,0
HB0147,2023_2024,2023-RS,INDIAN EDUCATION FUND DISTRIBUTIONS,0
HB0148,2023_2024,2023-RS,EARLY CHILDHOOD DEPT. TRIBAL AGREEMENTS,0
HB0149,2023_2024,2023-RS,PUBLIC ED DEPT. NATIVE AMERICAN FUNDING,0
HB0150,2023_2024,2023-RS,RETIREE HEALTH CARE CONTRIBUTIONS,0
HB0151,2023_2024,2023-RS,NON-TENURE-TRACK FACULTY UNEMPLOYMENT,0
HB0152,2023_2024,2023-RS,PRUEBA DE ESPANOL PARA LA CERTIFICATION,0
HB0153,2023_2024,2023-RS,LIVESTOCK LARCENY SEPARATE OFFENSES,0
HB0154,2023_2024,2023-RS,CANNABIS USE AS CHILD DELINQUENT ACT,0
HB0155,2023_2024,2023-RS,AGGRAVATED BATTERY ON PEACE OFFICER PENALTY,0
HB0156,2023_2024,2023-RS,CANNABIS SCHOOL USE PREVENTION RESOURCE ACT,0
HB0157,2023_2024,2023-RS,CANNABIS PACKAGING REQUIREMENTS,0
HB0158,2023_2024,2023-RS,DWI TESTING REQUIREMENTS,0
HB0159,2023_2024,2023-RS,VIDEO TESTIMONY FOR TRAFFIC OFFENSES,0
