state,chamber,term,sponsor,data_name,legiscan_id,district,party,LES,not_actually_in_chamber
CT,House,2017_2018,Geoffrey Luxenberg,NA,10813,HD-012,D,0,TRUE
CT,House,2017_2018,Julio Concepcion,NA,19662,HD-004,D,0,FALSE
CT,House,2017_2018,Kenneth Green,NA,5698,HD-001,D,0,TRUE
CT,House,2017_2018,Timothy LeGeyt,NA,5797,HD-017,R,0,FALSE
CT,House,2019_2020,Andre Baker,NA,17222,HD-124,D,0,FALSE
CT,House,2019_2020,Bill Simanski,NA,10440,HD-062,R,0,FALSE
CT,House,2019_2020,Harry Arora,NA,21615,HD-151,R,0,FALSE
CT,House,2019_2020,Jill Barry,NA,21033,HD-031,D,0,FALSE
CT,House,2019_2020,Joseph Zullo,NA,21321,HD-099,R,0,FALSE
CT,House,2021_2022,Andre Baker,NA,17222,HD-124,D,0,FALSE
CT,House,2021_2022,Antonio Felipe,NA,21361,HD-130,D,0,FALSE
CT,House,2021_2022,Christopher Perone,NA,5652,HD-137,D,0,FALSE
CT,House,2021_2022,Joe De la cruz,NA,18261,HD-041,D,0,FALSE
FL,House,2019_2020,Jose Oliva,NA,13713,HD-110,R,0,FALSE
FL,House,2019_2020,Travis Cummings,NA,14561,HD-018,R,0,FALSE
FL,Senate,2019_2020,Bill Galvano,NA,1651,SD-021,R,0,FALSE
FL,Senate,2019_2020,Tina Polsky,NA,19940,SD-029,D,0,TRUE
FL,House,2021_2022,Chris Sprowls,NA,16444,HD-065,R,0,FALSE
FL,House,2021_2022,Daniel Perez,NA,19426,HD-116,R,0,FALSE
FL,House,2021_2022,Daryl Campbell,NA,23066,HD-099,D,0,TRUE
FL,House,2021_2022,Jervonte Edmonds,NA,23116,HD-088,D,0,FALSE
FL,House,2021_2022,Paul Renner,NA,17686,HD-024,R,0,FALSE
FL,Senate,2021_2022,Debbie Mayfield,NA,1678,SD-017,R,0,FALSE
FL,Senate,2021_2022,Rosalind Osgood,NA,23121,SD-032,D,0,FALSE
FL,Senate,2021_2022,Wilton Simpson,NA,15857,SD-010,R,0,FALSE
IA,House,2019_2020,Dave Williams,williams,21095,HD-060,D,0,FALSE
IA,House,2019_2020,Dennis Cohoon,cohoon,7083,HD-087,D,0,FALSE
IA,House,2019_2020,John Forbes,forbes,15611,HD-040,D,0,FALSE
IA,House,2019_2020,Kristin Sunde,sunde,21094,HD-042,D,0,FALSE
IA,House,2019_2020,Lindsay James,james,21091,HD-099,D,0,FALSE
IA,House,2019_2020,Ross Wilburn,wilburn,21419,HD-046,D,0,FALSE
IA,House,2019_2020,Scott Ourth,ourth,15613,HD-026,D,0,FALSE
IA,House,2021_2022,Amy Nielsen,nielsen,19016,HD-077,D,0,FALSE
IA,House,2021_2022,Chris Hall,hall,11697,HD-013,D,0,FALSE
IA,House,2021_2022,Dave Williams,NA,21095,HD-060,D,0,FALSE
IA,House,2021_2022,David Sieck,sieck,17617,HD-023,R,0,FALSE
IA,House,2021_2022,Dennis Cohoon,cohoon,7083,HD-087,D,0,FALSE
IA,House,2021_2022,Jo Oldson,oldson,7082,HD-041,D,0,FALSE
IA,House,2021_2022,John Forbes,forbes,15611,HD-040,D,0,FALSE
IA,House,2021_2022,Kenan Judge,judge,21092,HD-044,D,0,FALSE
IA,House,2021_2022,Kirsten Running-Marquardt,running-marquardt,7096,HD-069,D,0,FALSE
IA,House,2021_2022,Monica Kurth,kurth,19287,HD-089,D,0,FALSE
IA,House,2021_2022,Pat Grassley,NA,7075,HD-050,R,0,FALSE
IA,House,2021_2022,Phyllis Thede,thede,7078,HD-093,D,0,FALSE
IA,House,2021_2022,Rick Olson,olson,7069,HD-031,D,0,FALSE
IA,Senate,2021_2022,Jim Lykam,lykam,7009,SD-045,D,0,FALSE
ID,House,2019_2020,Aaron von Ehlinger,NA,21662,HD-006A,R,0,FALSE
ID,House,2019_2020,Chris Abernathy,NA,21000,HD-029A,D,0,FALSE
ID,House,2019_2020,James Holtzclaw,NA,15796,HD-020B,R,0,FALSE
ID,House,2019_2020,Megan Kiska,NA,21420,HD-021B,R,0,FALSE
ID,House,2019_2020,Rob Mason,NA,21013,HD-016B,D,0,FALSE
ID,House,2019_2020,Steve Berch,NA,21003,HD-015A,D,0,FALSE
ID,House,2019_2020,Timothy Remington,NA,21537,HD-002B,R,0,FALSE
ID,House,2021_2022,Mike Kingsley,NA,19062,HD-006B,R,0,FALSE
ID,House,2021_2022,Muffy Davis,NA,21005,HD-026A,D,0,FALSE
ID,House,2021_2022,Sally Toone,NA,19059,HD-026B,D,0,FALSE
ID,House,2021_2022,Steve Berch,NA,21003,HD-015A,D,0,FALSE
ID,House,2021_2022,Tony Wisniewski,NA,21017,HD-003B,R,0,TRUE
ID,Senate,2021_2022,Carrie Semmelroth,NA,23065,SD-017,D,0,FALSE
ID,Senate,2021_2022,Eva Nye,NA,23170,SD-029,D,0,FALSE
IN,House,2019_2020,Blake Johnson,NA,22288,HD-100,D,0,FALSE
IN,House,2019_2020,Chris Jeter,NA,21915,HD-088,R,0,TRUE
IN,House,2019_2020,Cindy Ledbetter,NA,22236,HD-075,R,0,TRUE
IN,House,2019_2020,Craig Snow,NA,22453,HD-018,R,0,TRUE
IN,House,2019_2020,Elizabeth Rowray,NA,21916,HD-035,R,0,TRUE
IN,House,2019_2020,Harold Slager,NA,14766,HD-015,R,0,TRUE
IN,House,2019_2020,Jake Teshka,NA,21917,HD-007,R,0,TRUE
IN,House,2019_2020,Joanna King,NA,22375,HD-049,R,0,TRUE
IN,House,2019_2020,John Jacob,NA,21909,HD-093,R,0,TRUE
IN,House,2019_2020,Julie Olthoff,NA,16702,HD-019,R,0,TRUE
IN,House,2019_2020,Maureen Bauer,NA,22128,HD-006,D,0,TRUE
IN,House,2019_2020,Michelle Davis,NA,21918,HD-058,R,0,TRUE
IN,House,2019_2020,Mike Andrade,NA,22274,HD-012,D,0,TRUE
IN,House,2019_2020,Mitch Gore,NA,22016,HD-089,D,0,TRUE
IN,House,2019_2020,Renee Pack,NA,22017,HD-092,D,0,TRUE
IN,House,2019_2020,Zach Payne,NA,22048,HD-066,R,0,TRUE
IN,Senate,2019_2020,Fady Qaddoura,NA,22275,SD-030,D,0,TRUE
IN,Senate,2019_2020,Kyle Walker,NA,21979,SD-031,R,0,TRUE
IN,Senate,2019_2020,Scott Baldwin,NA,21980,SD-020,R,0,TRUE
IN,Senate,2019_2020,Shelli Yoder,NA,22087,SD-040,D,0,TRUE
KY,House,2021_2022,John Carney,NA,1127,HD-051,R,0,TRUE
LA,House,2020_2023,Reggie Bagala,NA,21575,HD-054,R,0,FALSE
MA,House,2019_2020,Carol Doherty,NA,21656,HD-03-BRI,D,0,FALSE
MA,House,2019_2020,Thomas Petrolati,NA,2496,HD-07-HAM,D,0,FALSE
MA,Senate,2019_2020,Karen Spilka,NA,2576,SD-02-MID,D,0,FALSE
MA,Senate,2019_2020,Susan Moran,NA,21648,SD-PLYMOU,D,0,FALSE
MA,House,2021_2022,Donald Wong,NA,12455,HD-09-ESS,R,0,FALSE
MA,House,2021_2022,Ronald Mariano,NA,2476,HD-03-NOR,D,0,FALSE
MA,Senate,2021_2022,Karen Spilka,NA,2576,SD-02-MID,D,0,FALSE
MD,House,2019_2022,Faye Howell,NA,22986,HD-029B,D,0,FALSE
MD,House,2019_2022,Karen Toles,NA,23056,HD-025,D,0,FALSE
MD,House,2019_2022,Tawanna Gaines,NA,4660,HD-022,D,0,FALSE
ME,House,2019_2020,Aaron Frey,NA,15773,HD-124,D,0,TRUE
ME,House,2019_2020,Dale Denno,NA,18183,HD-045,D,0,FALSE
ME,House,2019_2020,David Haggan,NA,18188,HD-101,R,0,FALSE
ME,House,2019_2020,Dwayne Prescott,NA,17336,HD-017,R,0,FALSE
ME,House,2019_2020,Gina Mason,NA,18195,HD-056,R,0,TRUE
ME,House,2019_2020,Gregory Swallow,NA,21236,HD-144,R,0,FALSE
ME,House,2019_2020,Josanne Dolloff,NA,21202,HD-115,R,0,FALSE
ME,House,2019_2020,Kevin O'Connell,NA,21620,HD-128,D,0,TRUE
ME,House,2019_2020,Mark Blier,NA,21191,HD-022,R,0,FALSE
ME,House,2019_2020,Philip Curtis,NA,8813,HD-111,R,0,FALSE
ME,House,2019_2020,Randall Hall,NA,21212,HD-114,R,0,FALSE
ME,House,2019_2020,Roger Reed,NA,15406,HD-103,R,0,FALSE
ME,House,2019_2020,Scott Landry,NA,21221,HD-113,D,0,FALSE
ME,House,2019_2020,Sean Paulhus,NA,21349,HD-052,D,0,FALSE
ME,House,2019_2020,Stephen Moriarty,NA,15823,HD-045,D,0,FALSE
ME,House,2019_2020,Steven Foster,NA,21208,HD-104,R,0,FALSE
ME,House,2019_2020,Theodore Kryzak,NA,21220,HD-020,R,0,FALSE
ME,House,2021_2022,Braden Sharpe,NA,21234,HD-046,D,0,FALSE
ME,House,2021_2022,Cathy Nadeau,NA,22905,HD-078,R,0,FALSE
ME,House,2021_2022,Chad Grignon,NA,18187,HD-118,R,0,FALSE
ME,House,2021_2022,David Haggan,NA,18188,HD-101,R,0,FALSE
