"bill_id","pvs_title","candidate_session","candidate_summary","match"
"HB2001","Expands a State Incentive Program to Lure Chiefs and Royals Away from Missouri","2023_2024_RS","Defining grounds for impeachment of justices of the supreme court and certain judges of the district court.",""
"HB2001","Expands a State Incentive Program to Lure Chiefs and Royals Away from Missouri","2024_SS","Authorizing the secretary of commerce to enter into agreements with major professional sports franchises to establish STAR bond projects for a major professional sports complex.","Y"
