bill_id,session,version_status,original_sponsor,current_sponsor,requested_by,title,bill_url
HR6046,2023_2024_RS,Enrolled; As introduced,Representative Poskin,Representative Poskin,,Congratulating SevenDays on its 10th anniversary of teaching kindness and making a ripple to change the world.,http://kslegislature.org/li/b2023_24/measures/hr6046/
HR6047,2023_2024_RS,Enrolled; As introduced,Representative Robinson; Representative Penn; Representative Estes; Representative Alcala; Representative Amyx,Representative Robinson; Representative Penn; Representative Estes; Representative Alcala; Representative Amyx,,Commemorating the 70th anniversary of Brown v. Board of Education.,http://kslegislature.org/li/b2023_24/measures/hr6047/
SCR1601,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Informing the Governor that the two houses of the Legislature are organized and ready to receive communications.,http://kslegislature.org/li/b2023_24/measures/scr1601/
SCR1602,2023_2024_RS,As introduced,Senator Kerschen; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,Senator Kerschen; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,,Disapproving the designation of the lesser prairie chicken as a threatened species in Kansas by the United States Fish and Wildlife Service.,http://kslegislature.org/li/b2023_24/measures/scr1602/
SCR1603,2023_2024_RS,Enrolled; As Amended by House Committee; As introduced,Senator Fagg; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,Senator Fagg; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,,Urging the President of the United States to restore energy independence in the United States.,http://kslegislature.org/li/b2023_24/measures/scr1603/
SCR1604,2023_2024_RS,As introduced,Senator Pittman,Senator Pittman,,Proposing to amend section 1 of article 11 of the constitution of the state of Kansas to limit property tax valuation increases for residential property.,http://kslegislature.org/li/b2023_24/measures/scr1604/
SCR1605,2023_2024_RS,As introduced,Senator Straub; Senator Claeys; Senator Doll; Senator Gossage; Senator Kloos,Senator Straub; Senator Claeys; Senator Doll; Senator Gossage; Senator Kloos,,Proposing a constitutional amendment imposing term limits for state legislators.,http://kslegislature.org/li/b2023_24/measures/scr1605/
SCR1606,2023_2024_RS,As introduced,Committee on Federal and State Affairs,Committee on Federal and State Affairs,Senator Holscher,Constitutional amendment proposing the Kansas Citizen Involvement Amendment to reserve the powers of initiative and referendum to the citizens of Kansas.,http://kslegislature.org/li/b2023_24/measures/scr1606/
SCR1607,2023_2024_RS,As introduced,Committee on Federal and State Affairs,Committee on Federal and State Affairs,Senator Thompson,Making application to the United States congress to call a convention of the states for the purpose of proposing amendments to limit the federal government.,http://kslegislature.org/li/b2023_24/measures/scr1607/
SCR1608,2023_2024_RS,As introduced,Committee on Federal and State Affairs,Committee on Federal and State Affairs,Senator Holscher on behalf of MORE Squared,Urging the adoption of a student bill of rights.,http://kslegislature.org/li/b2023_24/measures/scr1608/
SCR1609,2023_2024_RS,As introduced,Senator Claeys; Senator Alley; Senator Baumgardner; Senator Blasi; Senator Bowers,Senator Claeys; Senator Alley; Senator Baumgardner; Senator Blasi; Senator Bowers,,Making application to the Congress of the United States to call a convention of the states to establish term limits for members of Congress.,http://kslegislature.org/li/b2023_24/measures/scr1609/
SCR1610,2023_2024_RS,{As Amended by Senate Committee of the Whole}; As introduced,Committee on Assessment and Taxation,Committee on Assessment and Taxation,Senator Tyson,Proposing to amend section 1 of article 11 of the constitution of the state of Kansas to limit property tax valuation increases for real property.,http://kslegislature.org/li/b2023_24/measures/scr1610/
SCR1611,2023_2024_RS,As introduced,Committee on Assessment and Taxation,Committee on Assessment and Taxation,,Proposing to amend section 1 of article 11 of the constitution of the state of Kansas to limit property tax valuation increases for real property.,http://kslegislature.org/li/b2023_24/measures/scr1611/
SCR1612,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Providing for the adjournment of the Senate and House of Representatives for a period of time during the 2023 regular session of the legislature.,http://kslegislature.org/li/b2023_24/measures/scr1612/
SCR1613,2023_2024_RS,As introduced,Senator Holland,Senator Holland,,Proposing to amend the constitution of the state of Kansas to decrease the assessed value for real property used for residential purposes to 10 1/2% for 2025 and 9 1/2% for 2026 and each year thereafter.,http://kslegislature.org/li/b2023_24/measures/scr1613/
SCR1614,2023_2024_RS,As introduced,Senator Olson,Senator Olson,,Proposing a constitutional amendment imposing term limits for state legislators.,http://kslegislature.org/li/b2023_24/measures/scr1614/
SCR1615,2023_2024_RS,As introduced,Senator Tyson; Senator Baumgardner; Senator Doll; Senator Shallenburger; Senator Steffen,Senator Tyson; Senator Baumgardner; Senator Doll; Senator Shallenburger; Senator Steffen,,A Concurrent Resolution rejecting the rates of compensation for members of the Legislature set by the Legislative Compensation Commission.,http://kslegislature.org/li/b2023_24/measures/scr1615/
SCR1616,2023_2024_RS,As introduced,Senator Pyle,Senator Pyle,,Proposing an amendment to the constitution of the state of Kansas to add a senate confirmation requirement for supreme court justices and to change the membership of the supreme court nominating commission.,http://kslegislature.org/li/b2023_24/measures/scr1616/
SCR1617,2023_2024_RS,As introduced,Committee on Federal and State Affairs,Committee on Federal and State Affairs,,Proposing a constitutional amendment to require that vacancies in the offices of the secretary of state and the attorney general be filled by election at a state party delegate convention.,http://kslegislature.org/li/b2023_24/measures/scr1617/
