bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0473,2023,RS,Sinicki,Shankland; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Billings; Cabrera; Clancy; Conley; Considine; Doyle; Drake; Emerson; Goyke; Haywood; Hong; Jacobson; Joers; Madison; McGuire; Moore Omokunde; Myers; Neubauer; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Riemer; Shelton; Snodgrass; Stubbs; Subeck; Vining,Wirch; Agard; Carpenter; Hesselbein; L. Johnson; Larson; Roys; Smith; Spreitzer; Taylor,A - Labor and Integrated Employment,An Act  Relating to: investigation and audit of worker misclassification and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab473
ab0474,2023,RS,Sinicki,Shankland; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Billings; Cabrera; Clancy; Conley; Considine; Doyle; Drake; Emerson; Goyke; Haywood; Hong; Jacobson; Joers; Madison; McGuire; Moore Omokunde; Myers; Neubauer; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Riemer; Shelton; Snodgrass; Stubbs; Subeck; Vining,Wirch; Agard; Carpenter; Hesselbein; L. Johnson; Larson; Roys; Smith; Spreitzer; Taylor,A - Labor and Integrated Employment,"An Act to renumber and amend 108.221 (1) (a) and 108.221 (2); to amend 102.85 (1) (a), 102.85 (1) (b) and 102.85 (2) (intro.); and to create 16.40 (24), 102.85 (1) (c), 102.85 (1) (d), 102.85 (2j), 102.85 (2k), 103.005 (4m), 108.221 (1) (a) 2., 108.221 (2) (b), 182.01 (8) and 601.41 (12) of the statutes;  Relating to: employee misclassification and providing a penalty. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab474
ab0475,2023,RS,Sinicki,Shankland; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Billings; Cabrera; Clancy; Conley; Considine; Doyle; Drake; Emerson; Goyke; Haywood; Hong; Jacobson; Joers; Madison; McGuire; Moore Omokunde; Myers; Neubauer; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Riemer; Shelton; Snodgrass; Stubbs; Subeck; Vining,Wirch; Agard; Carpenter; Hesselbein; L. Johnson; Larson; Roys; Smith; Spreitzer; Taylor,A - Labor and Integrated Employment,An Act to amend 102.125 (2) and 102.125 (3); and to create 102.125 (1m) and 943.395 (1) (e) of the statutes;  Relating to: worker misclassification and providing a penalty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab475
ab0476,2023,RS,Magnafici,Behnke; Brandtjen; Brooks; Edming; Goeben; Green; Gundrum; Gustafson; Kitchens; Michalski; Murphy; O'Connor; Rozar; Schutt; Steffen,Tomczyk; Ballweg; James,A - Veto Sustained,An Act to amend 17.19 (4) of the statutes;  Relating to: filling vacancies in elective state offices in the executive branch.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab476
ab0477,2023,RS,Dallman,Brooks; Dittrich; Drake; Ortiz-Velez; Rettinger; Rozar; Snyder; Tittl; Wittke; Wichgers,Bradley; Marklein,A - State Affairs,"An Act to amend 102.07 (8) (a) and 108.02 (12) (a); and to create 102.01 (2) (ae), 102.01 (2) (an), 102.01 (2) (ann), 102.01 (2) (anp), 102.01 (2) (dc), 102.01 (2) (ds), 102.01 (2) (gh), 102.07 (8) (bs), 103.08, 104.01 (2) (b) 6., 108.02 (12) (ds), 224.55 and 632.985 of the statutes;  Relating to: delivery network couriers and transportation network drivers, Department of Financial Institutions' approval to offer portable benefit accounts, providing for insurance coverage, modifying administrative rules related to accident and sickness insurance, and granting rule-making authority. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab477
ab0478,2023,RS,Subeck,Bare; C. Anderson; J. Anderson; Cabrera; Considine; Emerson; Goyke; Haywood; Hong; Joers; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shankland; Shelton; Sinicki; Snodgrass; Stubbs; Vining,L. Johnson; Hesselbein; Agard; Carpenter; Larson; Pfaff; Roys; Smith; Spreitzer; Taylor; Wirch,A - Labor and Integrated Employment,"An Act to repeal 103.10 (1m) (title), (a), (b) (intro.), 1., 2., 3., 4., 5. and 7., (c), (d) and (e); to renumber 103.10 (1m) (b) 6.; and to amend 103.10 (1) (b), 103.10 (1) (c), 103.12 (3) (a), 103.12 (3) (b) and 165.68 (1) (a) 3. of the statutes;  Relating to: allowing the enactment of family and medical leave ordinances. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab478
ab0479,2023,RS,Subeck,Hong; C. Anderson; J. Anderson; Bare; Cabrera; Considine; Emerson; Goyke; Haywood; Joers; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shankland; Shelton; Sinicki; Snodgrass; Stubbs; Vining,Hesselbein; L. Johnson; Agard; Carpenter; Larson; Pfaff; Roys; Smith; Spreitzer; Taylor; Wirch,A - Labor and Integrated Employment,An Act to repeal 104.001 of the statutes;  Relating to:  local minimum wage ordinances. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab479
ab0480,2023,RS,Schutt,Behnke; Bodden; Donovan; Goeben; Green; Gustafson; Hurd; Kitchens; Kurtz; Macco; Melotik; Michalski; Moses; Murphy; Mursau; Nedweski; O'Connor; Penterman; Plumer; Rettinger; Wichgers,Tomczyk; Cowles; Marklein; Nass; Stroebel; Wanggaard,A - Veto Sustained,An Act to create 71.613 (3) (am) of the statutes;  Relating to: eligibility for farmland preservation tax credits. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab480
ab0481,2023,RS,J. Anderson,C. Anderson; Bare; Cabrera; Conley; Considine; Emerson; Goyke; Haywood; Joers; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shankland; Shelton; Snodgrass; Stubbs; Subeck,Larson; Agard; Carpenter; Smith; Spreitzer; Taylor; Wirch,A - Labor and Integrated Employment,An Act to renumber and amend 103.465; to amend 103.465 (title); and to create 103.465 (1m) and 103.465 (3) and (4) of the statutes;  Relating to: covenants not to compete in employment contracts.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab481
ab0482,2023,RS,Dallman,,,A - State Affairs,"An Act  Relating to: expenditure of $563,557.14 from the general fund in payment of a claim against the state made by Payne and Dolan, Inc. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab482
