bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0001,2023,RS,Brooks,Knodl; Rettinger; Rozar; Allen; Bodden; Brandtjen; Dittrich; Gundrum; Gustafson; Magnafici; Murphy; Penterman; Spiros; Tusler; Behnke; Schraa,LeMahieu; Ballweg; Bradley; Cabral-Guevara; Feyen; James; Nass; Stroebel; Tomczyk; Hutton; Felzkowski,A - Ways and Means,"An Act to repeal 71.06 (1q), 71.06 (1r) (a), 71.06 (1r) (b), 71.06 (1r) (c), 71.06 (2) (i), 71.06 (2) (j), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f), 71.06 (2s) (g) and 73.03 (71); to renumber 71.06 (1r) (d); to amend 71.06 (1q) (intro.), 71.06 (1r) (title), 71.06 (2) (i) (intro.), 71.06 (2) (j) (intro.), 71.06 (2e) (a), 71.06 (2e) (b), 71.06 (2m), 71.06 (2s) (d), 71.125 (1), 71.125 (2), 71.17 (6), 71.64 (9) (b) (intro.), 71.67 (5) (a), 71.67 (5m), 73.03 (71) (c) 2. and 73.03 (71) (d) 2.; and to create 71.06 (1r), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2) (n), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f) and 71.06 (2s) (g) of the statutes;  Relating to: establishing a flat individual income tax rate. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab1
ab0002,2023,RS,Knodl,Armstrong; Moses; Allen; Bodden; Brandtjen; Brooks; Callahan; Dittrich; Donovan; Duchow; Edming; Goeben; Green; Gundrum; Gustafson; S. Johnson; Kitchens; Magnafici; Maxey; Murphy; Mursau; Nedweski; Neylon; Novak; O'Connor; Oldenburg; Penterman; Plumer; Rettinger; Rozar; Sapik; Schraa; Snyder; Sortwell; Steffen; Summerfield; Tittl; Tranel; Tusler; VanderMeer; Wichgers; Zimmerman; Swearingen; Binsfeld; Michalski,Stroebel; Testin; Jacque; Bradley; Cabral-Guevara; Feyen; Hutton; James; LeMahieu; Nass; Quinn; Tomczyk; Wanggaard; Wimberger,A - Calendar,"An Act to repeal 60.85 (1) (f), 66.1105 (2) (d), 70.043 (2), 70.13 (3), 70.13 (7), 70.18, 70.19, 70.20, 70.21, 70.22, 70.29, 70.30, 70.34, 70.345, 70.35, 70.36, 70.47 (15), 70.53 (1) (a), 70.65 (2) (a) 2., 70.68, 74.11 (4), 74.11 (11) (b), 74.11 (12) (a) 1g., 74.11 (12) (d), 74.12 (6), 74.12 (11) (a) 1g., 74.12 (11) (d), 74.30 (1) (i), 74.42, 74.47 (3) (e), 74.55 and 76.69; to renumber 70.043 (1) and 74.11 (11) (a); to consolidate, renumber and amend 70.65 (2) (a) (intro.) and 1.; to amend 17.14 (1) (g), 26.03 (1m) (b) (intro.), 33.01 (9) (a), 33.01 (9) (am) 1. and 2., 33.01 (9) (ar) 1., 33.01 (9) (b) 1., 60.85 (1) (h) 1. c., 60.85 (1) (o), 66.0435 (3) (c) 1. (intro.), 66.0435 (3) (g), 66.0435 (9), 66.1105 (2) (f) 1. c., 66.1106 (1) (k), 70.02, 70.05 (5) (a) 1., 70.17 (1), 70.174, 70.44 (1), 70.49 (2), 70.52, 70.65 (2) (b) (intro.), 70.73 (1) (b), 70.73 (1) (c), 70.73 (1) (d), 70.84, 70.855 (1) (intro.), 70.855 (1) (a), 70.855 (1) (b), 70.995 (1) (a), 70.995 (1) (b), 70.995 (4), 70.995 (7) (b), 70.995 (8) (b) 1., 70.995 (12) (a), 71.17 (2), 74.05 (1), 74.09 (2), 74.11 (6) (a), 74.11 (10) (a) 1., 74.11 (12) (a) (intro.), 74.11 (12) (b), 74.12 (7) (a), 74.12 (8) (a), 74.12 (9) (a), 74.12 (10) (a), 74.12 (11) (a) (intro.), 74.12 (11) (b), 74.25 (1) (intro.), 74.29 (2), 74.30 (1m), 74.83, 74.87 (3), 76.125 (1), 77.84 (1), 174.065 (3), 815.18 (3) (intro.) and 978.05 (6) (a); and to create 60.85 (5) (j), 66.1105 (5) (j), 66.1106 (4) (e), 70.015, 70.111 (28) and 70.17 (3) of the statutes;  Relating to: eliminating the personal property tax. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab2
ab0003,2023,RS,Joint Committee for Review of Administrative Rules,,,A - Family Law,"An Act to amend 457.03 (2) of the statutes;  Relating to: rules defining unprofessional conduct by marriage and family therapists, professional counselors, and social workers and suspension of a portion of a rule of the Marriage and Family Therapy, Professional Counseling, and Social Work Examining Board.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab3
ab0004,2023,RS,Joint Committee for Review of Administrative Rules,,,A - Campaigns and Elections,An Act to create 5.051 of the statutes;  Relating to: the suspension of a rule of the Elections Commission.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab4
ab0005,2023,RS,Joint Committee for Review of Administrative Rules,,,A - Tourism,"An Act to amend 93.07 (24) (e) and 97.67 (1); and to create 97.67 (1d) of the statutes;  Relating to: the regulation of pools located at short-term rentals and the partial suspension of rules promulgated by the Department of Agriculture, Trade and Consumer Protection. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab5
ab0006,2023,RS,Murphy,Rettinger; Penterman; Brandtjen; Brooks; Maxey; Mursau; Ortiz-Velez; Rodriguez; Tusler; Wichgers; Zimmerman; Bodden; Allen,Jacque; Felzkowski; Nass; Wanggaard,A - State Affairs,"An Act to repeal 36.11 (3) (cm) 1. and 3. and 36.31 (1); to amend 36.11 (3) (b), 36.11 (3) (c), 36.11 (3) (cm) 4. and 36.31 (2); and to create 36.11 (3) (bm), 36.31 (1m) and 36.31 (2m) (d) of the statutes;  Relating to: uniform course numbering and the transfer of course credits among technical colleges and University of Wisconsin System schools, and eliminating certain restrictions on the respective educational roles of the University of Wisconsin System and the Technical College System. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab6
ab0007,2023,RS,Murphy,Armstrong; Brandtjen; Donovan; Mursau; Ortiz-Velez; Plumer; Shankland; Sinicki; Tusler; Wichgers,Jacque; Ballweg; Carpenter,A - State Affairs,"An Act to amend 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (b) (intro.), 36.27 (3n) (bd), 36.27 (3n) (bg), 36.27 (3n) (bm), 36.27 (3n) (c), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (a) 1p., 38.24 (7) (b) (intro.), 38.24 (7) (bd), 38.24 (7) (bg), 38.24 (7) (bm) and 38.24 (8) (a) 1r. (intro.); and to create 36.27 (3n) (a) 1r. of the statutes;  Relating to: tuition and fee remission for certain veterans and their dependents enrolled in the University of Wisconsin System or a technical college. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab7
ab0008,2023,RS,Murphy,Armstrong; Baldeh; Brandtjen; Cabrera; Donovan; Gustafson; Kitchens; Mursau; Ortiz-Velez; Penterman; Pronschinske; Shankland; Sinicki; Snodgrass; Subeck; Tittl; Tusler; Wichgers,Jacque; Wanggaard; Carpenter; Hesselbein; Pfaff; Spreitzer,A - Rules,"An Act to amend 45.44 (3) (c) (intro.) and 45.51 (2) (a) 1.; and to create 36.27 (2) (b) 5., 36.27 (3p) (a) 1r. g., 38.24 (8) (a) 1r. g. and 45.01 (12) (fm) of the statutes;  Relating to: expanding veterans benefits to individuals who served in Laos in support of the United States during the Vietnam War.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab8
ab0009,2023,RS,Sortwell,Goeben; Shankland; Brandtjen; Brooks; Cabrera; Knodl; Moses; Murphy; Rozar; Subeck; Tittl; Tusler; Wichgers; Vining,Jacque; Ballweg; Cowles; Spreitzer; Wanggaard,A - Tabled,"An Act to repeal 118.29 (1) (bm), 118.292 (1g) (b), 118.292 (1g) (bm), 118.2925 (1) (d), 118.2925 (1) (fm), 255.07 (1) (c) and 255.07 (1) (e); to amend 118.29 (2) (a) 2m., 118.292 (1r) (intro.), 118.292 (1r) (a), 118.292 (2) (a), 118.292 (2) (b), 118.2925 (1) (h), 118.2925 (3), 118.2925 (4) (a), (b) and (c), 118.2925 (4m) (a), 118.2925 (4m) (b), 118.2925 (5), 255.07 (2) (a), 255.07 (2) (b), 255.07 (3), 255.07 (4), 255.07 (5) (a) 2., 255.07 (5) (a) 3., 255.07 (6) (a) (intro.), 255.07 (6) (a) 1., 2. and 3., 255.07 (6) (b), 255.07 (6) (d), 255.07 (6) (e), 255.07 (6) (f), 448.03 (2) (q) and 450.11 (4) (a) 5. d.; and to create 118.29 (1) (br), 118.292 (1g) (bg), 118.2925 (1) (dm) and 255.07 (1) (cm) of the statutes;  Relating to: use of epinephrine delivery systems and standing orders for epinephrine. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab9
ab0010,2023,RS,Penterman,O'Connor; Armstrong; Kitchens; Mursau; Spiros,Cowles; Ballweg; Marklein; Nass; Smith,A - Rules,"An Act to repeal 20.320 (1) (sm), 281.59 (1) (as), 281.59 (9) (a) and 281.60; to amend 13.48 (26), 20.370 (4) (mt), 20.370 (9) (mt), 20.505 (1) (v), 20.536 (1) (ka), 25.43 (1) (h), 25.43 (2s) (a) 2., 25.43 (3), 67.12 (12) (a), 281.59 (2) (a), 281.59 (2) (b), 281.59 (3) (a) 1., 281.59 (3) (a) 5., 281.59 (3) (j), 281.59 (9) (am), 281.59 (9) (b) (intro.), 281.59 (9) (b) 1., 281.59 (11) (a), 281.59 (11) (b), 281.59 (11) (c), 281.59 (13s) and 281.59 (14); and to create 281.605 of the statutes;  Relating to: eliminating the land recycling loan program. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab10
ab0011,2023,RS,Kitchens,Bodden; Tusler; Rozar; Mursau; Vining; Joers; Conley; Considine; Cabrera; Subeck; Stubbs; J. Anderson; Ratcliff; Sinicki; Snodgrass; Shankland; Jacobson,Cowles; Agard; Cabral-Guevara; Spreitzer; Taylor; Hesselbein; Smith,A - Rules,"An Act to amend 27.01 (9) (bn) (title); and to create 20.370 (1) (ed), 27.01 (6m) and 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to parents or guardians of 4th grade pupils and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab11
ab0012,2023,RS,Kitchens,Kurtz; Steffen; Novak; Myers; Spiros; Armstrong; Ortiz-Velez; Rozar; Macco; Murphy; Green; Mursau; Edming; Duchow; Shankland,Wimberger; Ballweg; Cowles; Taylor,A - Rules,"An Act to amend 36.27 (2) (b) 4., 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (bd), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (bd), 38.24 (8) (a) 1r. (intro.) and 39.49 (2) (a) 2. of the statutes;  Relating to: tuition and fee remission or grants for certain veterans and their dependents enrolled in the University of Wisconsin System, a technical college, or a private nonprofit institution of higher education; and the University of Wisconsin System nonresident tuition exemption for certain veterans. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab12
ab0013,2023,RS,Tittl,Armstrong; Brandtjen; Gundrum; Murphy; Mursau; Tusler; Wichgers,Jacque; James; Marklein; Taylor; Tomczyk,A - Children and Families,"An Act to repeal 48.433 (3) (a); to renumber and amend 69.14 (3) (c) and 69.15 (6) (b); to consolidate, renumber and amend 48.433 (3) (intro.) and (b); to amend 48.433 (2), 48.433 (8) (a) and 69.22 (1) (b); and to create 69.14 (3) (c) 3., 69.15 (6) (b) 4. and 69.21 (2) (bm) of the statutes;  Relating to: access to an original impounded birth record. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab13
ab0014,2023,RS,Tittl,Pronschinske; Edming; Murphy; Mursau; Rozar; Tusler; Wichgers,Jacque,S - Agriculture and Tourism,An Act to create subchapter XI of chapter 218 [precedes 218.60] of the statutes;  Relating to: repair and replacement of implements of husbandry under warranty.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab14
ab0015,2023,RS,Tittl,Sortwell; Allen; Binsfeld; Goeben; Green; Gundrum; Magnafici; Murphy; Penterman; Schraa; Tusler; Wichgers; Bodden,Jacque; Quinn; Tomczyk,A - Education,An Act to amend 119.04 (1); and to create 43.75 and 118.073 of the statutes;  Relating to: pupil or minor access to harmful material in public libraries and to harmful material or offensive material in public schools. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab15
ab0016,2023,RS,Tittl,Allen; Armstrong; Dittrich; Donovan; Edming; Mursau; Ortiz-Velez; Rozar; Sapik; Spiros; Subeck; Tusler,James; Ballweg; Cowles; Marklein; Roys; Spreitzer; Wanggaard,A - Tabled,An Act to create 301.32 (1m) of the statutes;  Relating to: the value of tangible personal property allowed in state correctional facilities.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab16
ab0017,2023,RS,Tittl,Goyke; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Billings; Cabrera; Clancy; Conley; Considine; Doyle; Emerson; Haywood; Hong; Joers; Krug; Madison; Moore Omokunde; Mursau; Novak; Ohnstad; Ortiz-Velez; Riemer; Rozar; Schraa; Shelton; Sinicki; Snodgrass; Snyder; Spiros; Subeck; Vining; Wichgers; Shankland; Jacobson,Jacque; Spreitzer; Cabral-Guevara; Carpenter; Felzkowski; Hesselbein; James; Roys; Taylor; Wirch,A - Judiciary,"An Act to amend 20.455 (2) (em) (title), 165.95 (title), 165.95 (2), 165.95 (3) (a), 165.95 (3) (d), 165.95 (3) (e), 165.95 (3) (g), 165.95 (3) (h), 165.95 (3) (j), 165.95 (5) (a), 302.43, 967.11 (1), 967.11 (2) and 973.155 (1m); and to create 165.95 (1) (ae) of the statutes;  Relating to: expanding the treatment alternatives and diversion programs. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab17
ab0018,2023,RS,Tittl,Penterman; Baldeh; Knodl; Murphy; Mursau; Myers; Rozar; Schraa; Spiros; Tusler; VanderMeer; Wichgers,Jacque; Ballweg; Cabral-Guevara; Quinn; Wanggaard,A - State Affairs,"An Act to amend 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.) and 40.22 (3) (intro.); and to create 40.26 (7) of the statutes;  Relating to: rehired teacher annuitants. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab18
ab0019,2023,RS,Tittl,Wittke; J. Anderson; Bare; Baldeh; Cabrera; Clancy; Conley; Duchow; Gundrum; Haywood; Madison; Magnafici; Mursau; O'Connor; Ortiz-Velez; Riemer; Rozar; Sinicki; Spiros; Subeck; Summerfield; Tusler; Vining,Wanggaard; Carpenter; Cabral-Guevara; Hesselbein; James; Spreitzer; Taylor; Tomczyk,S - Finance,"An Act to create 15.197 (20), 20.435 (1) (cd) and 255.45 of the statutes;  Relating to: spinal cord injury research grants and symposia and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab19
ab0020,2023,RS,Murphy,Allen; Baldeh; Behnke; Bodden; Brandtjen; Edming; Gustafson; Mursau; Rettinger; Tittl; Tusler; Wichgers,Jacque; Ballweg; Carpenter; Nass,A - Ways and Means,An Act to amend 77.54 (30) (a) 2. of the statutes;  Relating to: the sales and use tax exemption for electricity and natural gas sold for residential use. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab20
ab0021,2023,RS,Bodden,Armstrong; Behnke; Binsfeld; Brandtjen; Brooks; Donovan; Edming; Gundrum; Gustafson; Kitchens; Murphy; Mursau; Penterman; Plumer; Rettinger; Schraa; Schutt; Tittl; Tusler; Wichgers,Jacque; Cabral-Guevara; Felzkowski; Feyen; Marklein; Nass; Quinn; Stafsholt; Tomczyk,A - Campaigns and Elections,"An Act to amend 6.275 (1) (f), 6.32 (4), 6.33 (4), 6.33 (5) (a) 1., 6.36 (1) (d), 6.36 (1) (e), 6.47 (6), 6.47 (7) (b), 6.48 (1) (d), 6.48 (2) (b), 6.50 (2), 6.50 (2g), 6.50 (2r) (g), 6.50 (3), 6.50 (4), 6.50 (5), 6.50 (6), 6.50 (7), 6.50 (10), 6.56 (3), 6.56 (4) and 7.23 (1) (c) of the statutes;  Relating to: removing ineligible voters from the official voter registration list. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab21
ab0022,2023,RS,Rodriguez,VanderMeer; Brooks; Kitchens; Knodl; Moses; Mursau; O'Connor; Penterman; Rettinger; Rozar; Schraa; Tittl; Wittke,Stroebel; Cowles; Felzkowski; Marklein,A - State Affairs,An Act to amend 16.855 (9m) (b) 1. a. of the statutes;  Relating to: qualified bidders on state projects. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab22
ab0023,2023,RS,Plumer,Dallman; C. Anderson; Armstrong; Kitchens; Mursau; Myers; Novak; Penterman; Rozar; Schutt; Jacobson,Ballweg; Cowles; Marklein; Smith; Spreitzer; Taylor,A - Rules,"An Act to repeal 41.11 (5), 41.12 (3) and 41.24 (3); and to amend 41.11 (1) (h) of the statutes;  Relating to: modifying the Department of Tourism's reporting duties and repealing requirements to distribute cheese, submit a financial statement, and use famous residents in marketing.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab23
ab0024,2023,RS,Krug,Allen; Cabrera; Gundrum; Mursau; Myers; Ortiz-Velez; Rettinger; Schraa; Sinicki; Subeck; Tittl; Wichgers; Jacobson; Haywood,Jacque; Spreitzer,A - Rules,An Act to create 118.07 (6) of the statutes;  Relating to: posting the child abuse and neglect reporting hotline in school buildings. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab24
ab0025,2023,RS,Krug,Armstrong; Kitchens; Murphy; Mursau; Wichgers,Jacque,A - Agriculture,"An Act to renumber 94.64 (1) (a); to amend 94.64 (3m) (a) (intro.), 94.64 (3m) (a) 1., 94.64 (9) (c), 94.65 (4) (a) (intro.) and 94.65 (4) (b); and to create 94.64 (1) (ag), 94.64 (1) (u), 94.64 (2) (f), 94.64 (3m) (a) 3., 94.65 (1) (bm), 94.65 (1) (fm) and 94.65 (5m) of the statutes;  Relating to: the distribution and labeling of fertilizers and soil or plant additives produced from manure. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab25
ab0026,2023,RS,Kurtz,Sinicki; Zimmerman; Wittke; Tusler; Tittl; Subeck; Stubbs; Spiros; Shankland; Rozar; Riemer; Ratcliff; Petryk; Petersen; Ortiz-Velez; Ohnstad; Novak; Mursau; Knodl; Kitchens; Joers; Haywood; Gustafson; Emerson; Edming; Donovan; Considine; Conley; Cabrera; Brandtjen; Billings; Baldeh; Armstrong; Andraca; C. Anderson; Jacobson,Cowles; Hesselbein; Wirch; Wanggaard; Taylor; Stafsholt; Spreitzer; Pfaff; Larson; James; Feyen; Carpenter,A - Rules,An Act to create 20.855 (4) (bg) of the statutes;  Relating to:  the University of Wisconsin Missing-in-Action Recovery and Identification Project and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab26
ab0027,2023,RS,Tusler,Rettinger; Mursau; Behnke; Cabrera,Wanggaard; Ballweg; Wimberger,A - Tabled,"An Act to repeal 887.015 (2) (e); and to amend 887.015 (title), 887.015 (1), 887.015 (2) (b), 887.015 (2) (f), 887.015 (3) and 887.015 (6) of the statutes;  Relating to: the Uniform Unsworn Declarations Act.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab27
ab0028,2023,RS,Born,Allen; C. Anderson; Armstrong; Behnke; Brooks; Callahan; Dittrich; Donovan; Edming; Emerson; Green; Gustafson; Joers; Kitchens; Krug; Macco; Magnafici; Moses; Murphy; Mursau; Nedweski; Novak; O'Connor; Penterman; Petryk; Plumer; Ratcliff; Rodriguez; Rozar; Schraa; Shankland; Snyder; Sortwell; Spiros; Steffen; Subeck; Summerfield; Tranel; Tusler; VanderMeer; Wittke; Zimmerman; Jacobson,Marklein; Ballweg; Feyen; Jacque; Jagler; James; L. Johnson; Smith; Spreitzer,A - Enacted into Law,"An Act to renumber and amend 40.05 (2) (ar); to amend 40.02 (27), 40.02 (48) (b) 3., 40.02 (48) (c), 40.05 (1) (b) 1., 40.23 (3) (a), 40.28 (1) (a) 2. and 40.73 (1) (am) 3.; and to create 40.02 (17) (n), 40.02 (48) (am) 23., 40.02 (48) (b) 5., 40.05 (1) (a) 7., 40.05 (1) (b) 1a., 40.05 (2) (ap), 40.05 (2) (ar) 2., 40.23 (3) (c), 40.65 (4w), 59.52 (8m) and 111.70 (4) (bn) of the statutes;  Relating to: classifying county jailers as protective occupation participants under the Wisconsin Retirement System and the treatment of county jailers under the Municipal Employment Relations Act. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab28
ab0029,2023,RS,Sortwell,Schraa; Allen; Armstrong; Behnke; Bodden; Brooks; Gustafson; Moses; Murphy; Mursau; Penterman; Petersen; Rettinger; Tittl; Tusler,Stroebel; Cabral-Guevara; Felzkowski; Feyen; Nass; Quinn; Spreitzer,A - Enacted into Law,An Act to create 77.54 (70) of the statutes;  Relating to: a sales and use tax exemption for precious metal bullion. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab29
ab0030,2023,RS,Wichgers,Myers; Bare; Behnke; Cabrera; Drake; Sinicki; Subeck; Donovan,Jacque; Taylor,"A - Forestry, Parks and Outdoor Recreation",An Act to amend 27.01 (9) (bn) (title); and to create 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab30
ab0031,2023,RS,Brooks,Knodl; Armstrong; Brandtjen; Gundrum; Murphy; O'Connor; Rettinger; Steffen,Jacque; Nass; Stroebel,A - Finance,An Act to create 16.475 of the statutes;  Relating to: preparing an additional executive budget bill or bills according to generally accepted accounting principles. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab31
ab0032,2023,RS,Tittl,Behnke; Edming; Green; Mursau; Steffen; VanderMeer,James,A - Ways and Means,"An Act to create 71.05 (6) (b) 57., 71.53 (2) (g) and 71.77 (9) of the statutes;  Relating to: creating an individual income tax deduction for certain income earned by an individual from the practice of psychiatry or from providing psychiatric or mental health services. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab32
ab0033,2023,RS,Oldenburg,Pronschinske; Baldeh; Behnke; Donovan; Duchow; Gundrum; Moses; Murphy; Mursau; Sapik; Spiros; VanderMeer; Shankland,James; Ballweg; Carpenter; Feyen; Wanggaard,A - Tabled,An Act to create 341.08 (2) (aj) and 343.177 of the statutes;  Relating to: emergency contact records maintained by the Department of Transportation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab33
ab0034,2023,RS,Magnafici,Callahan; Brooks; Bodden; Edming; Green; Maxey; Mursau; Moses; Zimmerman; Sapik,Quinn; Tomczyk,A - Veto Sustained,An Act to amend 29.336 (2) (b) and 29.336 (2) (c) of the statutes;  Relating to: restrictions on baiting deer in counties based on chronic wasting disease or bovine tuberculosis.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab34
ab0035,2023,RS,Mursau,Edming; Andraca; Behnke; Donovan; Kitchens; Knodl; Magnafici; Maxey; Ohnstad; Rozar; Sinicki; Spiros; Subeck; Tusler; Jacobson,James; Cowles; Felzkowski; Marklein; Taylor,A - Tabled,An Act to amend 29.197 (3) of the statutes;  Relating to: modifying the designation of a free fishing weekend in January.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab35
ab0036,2023,RS,Steffen,Allen; Armstrong; Brooks; Cabrera; Donovan; Green; Gundrum; Gustafson; Kitchens; Knodl; Macco; Moses; Murphy; Mursau; Novak; O'Connor; Penterman; Rettinger; Subeck; Tittl; Tusler,James; Ballweg; Cowles; Quinn; Spreitzer; Taylor,A - Enacted into Law,"An Act to consolidate, renumber and amend 165.775 (4) (intro.) and (b); to amend 165.775 (3) (b) and 165.775 (4) (a); and to create 165.775 (4) (b) 2. and 3. of the statutes;  Relating to: a time limit for processing sexual assault kits. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab36
ab0037,2023,RS,Steffen,Tittl; Goyke; C. Anderson; Andraca; Armstrong; Baldeh; Bare; Billings; Brooks; Cabrera; Clancy; Conley; Considine; Donovan; Doyle; Drake; Edming; Emerson; Gundrum; Gustafson; Haywood; Hong; Joers; Kitchens; Krug; Macco; Madison; McGuire; Moore Omokunde; Moses; Mursau; Myers; Novak; O'Connor; Ohnstad; Ortiz-Velez; Ratcliff; Riemer; Rozar; Schmidt; Schraa; Shankland; Shelton; Sinicki; Snodgrass; Snyder; Sortwell; Stubbs; Subeck; Vining; Zimmerman; Jacobson,Cabral-Guevara; Wimberger; Roys; Felzkowski; James; L. Johnson; Larson; Spreitzer; Taylor; Wanggaard; Wirch,S - Judiciary and Public Safety,"An Act to renumber 111.335 (3) (a); to renumber and amend 973.015 (1m) (a) 1.; to amend 111.335 (4) (b), 111.335 (4) (c) 1. (intro.), 111.335 (4) (e), 111.335 (4) (f) 1., 950.04 (1v) (g), 973.015 (1m) (a) 3. a., 973.015 (1m) (b) and 973.25 (1) (a); and to create 111.335 (3) (ag), 111.335 (3) (g), 973.015 (1b), 973.015 (1m) (a) 1. a. and b., 973.015 (1m) (a) 3. c., cg., cr. and d. and 4., 973.015 (1m) (c) and 973.015 (4) of the statutes;  Relating to: expungement of records of certain crimes and discrimination based on expunged conviction. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab37
ab0038,2023,RS,Steffen,Knodl; Armstrong; C. Anderson; Bare; Edming; Magnafici; Moses; Murphy; Mursau; O'Connor; Swearingen; Tusler; Jacobson,Cabral-Guevara; Roys; Spreitzer; Tomczyk,S - Available for Scheduling,An Act to amend 6.86 (1) (ac) of the statutes;  Relating to: absentee ballot request and return confirmation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab38
ab0039,2023,RS,Armstrong,Kurtz; Allen; Dittrich; Edming; Green; Kitchens; Magnafici; Murphy; Mursau; Novak; Snyder; Spiros; Summerfield; Tusler; VanderMeer,Feyen; Quinn,S - Available for Scheduling,"An Act to renumber 76.639 (3); to amend 71.07 (8b) (e), 71.28 (8b) (e), 71.47 (8b) (e), 76.639 (5), 76.67 (2), 234.45 (1) (e) and 234.45 (4); and to create 76.639 (3) (b), 234.45 (1) (em) and 234.45 (5m) of the statutes;  Relating to: changes to the low-income housing tax credit. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab39
ab0040,2023,RS,Allen,Murphy; Armstrong; Behnke; Edming; Gundrum; Gustafson; Knodl; Mursau; Spiros,Quinn; Cabral-Guevara,A - Education,An Act to amend 118.016 (1) (b); and to create 118.016 (3) and 118.016 (4) of the statutes;  Relating to: reading readiness assessments and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab40
