bill_id,term,session,summary,commem
LB0059,2023_2024,RS,Change provisions relating to limitations for a postconviction relief action,0
LB0060,2023_2024,RS,Change provisions relating to room confinement of juveniles and required reports,0
LB0061,2023_2024,RS,Change provisions relating to regulation of dark fiber,0
LB0062,2023_2024,RS,"Provide for coverage of translation and interpretation services under the medical assistance program, change reporting requirements related to the medical assistance program, and require a report regarding to the Temporary Assistance for Needy Families program",0
LB0063,2023_2024,RS,Require withholding of distributions to telecommunications companies from the Nebraska Telecommunications Universal Service Fund,0
LB0064,2023_2024,RS,Require the Department of Health and Human Services to provide notice in certain cases of child abuse and neglect,0
LB0065,2023_2024,RS,Change provisions relating to the complaint tracking system and disciplinary action under the Child Care Licensing Act,0
LB0066,2023_2024,RS,Change provisions relating to the regulation and operation of all-terrain vehicles and utility-type vehicles,0
LB0067,2023_2024,RS,Provide a duty for the State Treasurer regarding deposits of public funds,0
LB0068,2023_2024,RS,Increase limits on medical malpractice liability and change provisions of the Nebraska Hospital-Medical Liability Act,0
LB0069,2023_2024,RS,Provide requirements for life insurance policies,0
LB0070,2023_2024,RS,Eliminate the fee for certain state identification cards and certified copies of birth certificates for voting purposes,0
LB0071,2023_2024,RS,"Change provisions relating to early childhood education, parental involvement in and access to learning materials in schools, and the Tax Equity and Educational Opportunities Support Act and provide a process for repeating a grade upon request",0
LB0072,2023_2024,RS,Redefine the term gross proceeds for purposes of the Nebraska County and City Lottery Act,0
LB0073,2023_2024,RS,Change provisions relating to authorized uses for a County Visitors Improvement Fund,0
LB0074,2023_2024,RS,Change sales tax provisions relating to purchasing agents,0
LB0075,2023_2024,RS,Provide for review of incidents of severe maternal morbidity,0
LB0076,2023_2024,RS,"Provide access to certain information relating to probationers, juveniles, and parolees to law enforcement agencies",0
LB0077,2023_2024,RS,"Provide for carrying of concealed handguns without a permit, change provisions  relating to concealed weapons, and prohibit certain regulation of weapons by cities, villages, and counties",0
LB0078,2023_2024,RS,Redefine massage therapy under the Massage Therapy Practice Act,0
LB0079,2023_2024,RS,Adopt the Nebraska EPIC Option Consumption Tax Act,0
LB0080,2023_2024,RS,State intent regarding appropriations to the Department of Veterans' Affairs,0
LB0081,2023_2024,RS,Change number of county judges in Buffalo and Hall counties,0
LB0081A,2023_2024,RS,Appropriation Bill,0
LB0082,2023_2024,RS,"Provide reporting duties for Department of Correctional Services, require development of strategic plan, and eliminate obsolete provisions relating to a working group",0
LB0083,2023_2024,RS,Adopt the Uniform Community Property Disposition at Death Act and change provisions relating to court jurisdiction,0
LB0084,2023_2024,RS,Change provisions relating to the Supplemental Nutrition Assistance Program,0
LB0085,2023_2024,RS,Provide for express lane eligibility under the Medical Assistance Act and the Children's Health Insurance Program,0
LB0086,2023_2024,RS,Require public works contractors to pay the state minimum wage,0
LB0087,2023_2024,RS,Allow persons eighteen years of age to make health care decisions and persons under nineteen years of age in correctional facilities to consent to medical and mental health care,0
LB0088,2023_2024,RS,Change provisions relating to eligibility for Supplemental Nutrition Assistance Program benefits,0
LB0089,2023_2024,RS,Repeal provisions stating that surrogate parenthood contracts are void and unenforceable,0
LB0090,2023_2024,RS,Change provisions relating to tax incentive performance audits,0
LB0091,2023_2024,RS,"Change motorcycle, moped, and autocycle helmet and eye protection provisions",0
LB0092,2023_2024,RS,"Provide, change, and eliminate law relating to banking, commerce, insurance, housing, and taxation",0
LB0092A,2023_2024,RS,Appropriation Bill,0
LB0093,2023_2024,RS,Change provisions relating to security deposits required to be deposited with the Department of Insurance by insurers,0
LB0094,2023_2024,RS,Adopt and change provisions for controllable electronic records under the Uniform Commercial Code,0
LB0095,2023_2024,RS,Adopt the Asbestos Trust Claims Transparency Act and the Asbestos Claims Priorities and Claims Legitimacy Act and change a statute of limitations,0
LB0096,2023_2024,RS,Provide a sales and use tax exemption for twine,0
LB0097,2023_2024,RS,Change provisions relating to required reports for inheritance tax,0
LB0098,2023_2024,RS,Change provisions of the Community Development Law relating to substandard and blighted declarations and expedited reviews of redevelopment plans,0
LB0099,2023_2024,RS,Adopt the Hunger-Free Schools Act,0
LB0100,2023_2024,RS,Change provisions relating to qualified locations under the ImagiNE Nebraska Act,0
LB0101,2023_2024,RS,Provide for an exemption from the Nebraska Workers’ Compensation Act for certain agricultural operations,0
LB0102,2023_2024,RS,Change provisions relating to the Land Surveyors Regulation Act and the Nebraska Plane Coordinate System Act,0
LB0102A,2023_2024,RS,Appropriation Bill,0
LB0103,2023_2024,RS,"Change provisions of the County Employees Retirement Act, the Judges Retirement Act, the Nebraska State Patrol Retirement Act, the School Employees Retirement Act, and the State Employees Retirement Act",0
LB0104,2023_2024,RS,"Change provisions of the County Employees Retirement Act, the Judges Retirement Act, the School Employees Retirement Act, the Nebraska State Patrol Retirement Act, and the State Employees Retirement Act",0
LB0105,2023_2024,RS,Change provisions of public employee retirement plans relating to military service,0
LB0106,2023_2024,RS,Create the offense of digital grooming of a vulnerable adult and prohibit using an electronic communication device or social media to engage in certain conduct with vulnerable adults,0
LB0107,2023_2024,RS,Create the offense of digital grooming and prohibit using an electronic  communication device or social media to engage in certain conduct with minors,0
LB0108,2023_2024,RS,State intent regarding appropriations to the Department of Health and Human Services for community health centers,0
LB0109,2023_2024,RS,Require county boards of corrections in certain counties to act with advice of the county sheriff,0
LB0110,2023_2024,RS,Change potential conditions of pretrial release and provide for a pretrial risk assessment services pilot project,0
LB0111,2023_2024,RS,Adopt the Nebraska Volunteer Service Commission Act,0
LB0112,2023_2024,RS,State intent regarding appropriations to the Department of Health and Human Services for child advocacy centers,0
LB0113,2023_2024,RS,Appropriate funds for federal four and nine percent low-income housing tax credit programs,0
LB0114,2023_2024,RS,State intent to appropriate funds to the Department of Health and Human Services for evidence-based early intervention home visitation programs,0
LB0115,2023_2024,RS,Adopt the Family Home Visitation Act,0
LB0116,2023_2024,RS,Change provisions of the Beginning Farmer Tax Credit Act,0
LB0117,2023_2024,RS,Change provisions relating to the Independent Processor Assistance Program under the Nebraska Meat and Poultry Inspection Law,0
LB0118,2023_2024,RS,Change provisions of the Nebraska Advantage Rural Development Act,0
LB0119,2023_2024,RS,Redefine a term under the Nebraska Broadband Bridge Act,0
LB0120,2023_2024,RS,Eliminate obsolete provisions relating to a Nebraska Power Review Board study,0
LB0121,2023_2024,RS,Repeal the Trail Development Assistance Act,0
LB0122,2023_2024,RS,Change provisions relating to the One-Call Notification System Act,0
LB0123,2023_2024,RS,Adopt the Behavior Analyst Practice Act,0
LB0123A,2023_2024,RS,Appropriation Bill,0
LB0124,2023_2024,RS,Change the termination date for the County Bridge Match Program,0
LB0125,2023_2024,RS,Change provisions relating to interest earnings on the Surface Water Irrigation Infrastructure Fund,0
LB0126,2023_2024,RS,Change provisions relating to homestead exemptions and property assessment and tax rolls,0
LB0127,2023_2024,RS,Change sentencing provisions for crimes committed by a person under eighteen years of age,0
LB0128,2023_2024,RS,State intent regarding appropriations to the Department of Health and Human Services,0
LB0129,2023_2024,RS,State intent regarding appropriations to the Department of Health and Human Services for medicaid nursing facilities,0
LB0130,2023_2024,RS,"State intent regarding medicaid nursing facility rates, require reports, and change quality assurance assessments for nursing facilities",0
LB0131,2023_2024,RS,State intent regarding appropriations to the Department of Health and Human Services for medicaid assisted-living facilities,0
LB0132,2023_2024,RS,Adopt the Automatic Renewal Limitation Act,0
LB0133,2023_2024,RS,Provide that entities exercising the power of eminent domain are subject to the  Open Meetings Act,0
LB0134,2023_2024,RS,Provide requirements under the Small Wireless Facilities Deployment Act,0
LB0135,2023_2024,RS,Prohibit use of deception by peace officers in questioning juveniles,0
LB0136,2023_2024,RS,"Change provisions relating to the Motor Vehicle Certificate of Title Act, the Motor Vehicle Registration Act, and the Motor Vehicle Operator's License Act",0
LB0137,2023_2024,RS,Provide for a penalty enhancement for a controlled substances violation resulting in serious bodily injury or death,0
LB0138,2023_2024,RS,Adopt updates to federal law relating to motor vehicles and motor carriers and change provisions relating to transportation,0
LB0138A,2023_2024,RS,Appropriation Bill,0
LB0139,2023_2024,RS,Change the jurisdictional amount of the Small Claims Court,0
LB0140,2023_2024,RS,Provide for Czech Heritage license plates,0
LB0140A,2023_2024,RS,Appropriation Bill,0
LB0141,2023_2024,RS,Require the State Department of Education to provide guidance to school districts relating to a moment of silence in schools,0
LB0142,2023_2024,RS,Limit the amount an insured pays for prescription insulin drugs,0
LB0143,2023_2024,RS,Provide for year-round daylight saving time,0
LB0144,2023_2024,RS,Change and eliminate certain classes of licenses under the State Electrical Act,0
LB0145,2023_2024,RS,Change provisions relating to coverage for screening mammography and breast examinations,0
LB0146,2023_2024,RS,Change provisions relating to assessment of improvements on leased lands and  methods for giving notice by the Tax Commissioner,0
LB0147,2023_2024,RS,Change procedures for property tax refunds,0
LB0148,2023_2024,RS,Change powers and duties of the State Racing and Gaming Commission related to licensed racetrack enclosures and change dates related to the required market analysis and socioeconomic-impact studies,0
LB0149,2023_2024,RS,State intent regarding appropriations and rebasing rates under the medical assistance program,0
LB0150,2023_2024,RS,Change provisions relating to entertainment districts under the Nebraska Liquor Control Act,0
LB0151,2023_2024,RS,Change provisions relating to the State Real Estate Commission,0
LB0152,2023_2024,RS,Eliminate registration requirements under the Membership Campground Act,0
LB0153,2023_2024,RS,Adopt the Extraordinary Increase in Special Education Expenditures Act,0
LB0154,2023_2024,RS,Change notice provisions relating to treasurer's tax deeds,0
LB0155,2023_2024,RS,Change provisions regarding the applicability of the Small Wireless Facilities Deployment Act,0
LB0156,2023_2024,RS,Change the caseload ratio for the Public Guardian,0
LB0157,2023_2024,RS,"Provide for appointment of temporary guardians and change provisions relating to attorney's fees, third-party practice, change of name proceedings, enforcement of debts against certain victims, controlled substances schedules, decedents' estates, and crime victims' reparations",0
LB0158,2023_2024,RS,Appropriate funds to the Department of Agriculture,0
LB0159,2023_2024,RS,Adopt the Fostering Independence Higher Education Grant Act,0
LB0160,2023_2024,RS,Change contribution rates relating to supplemental retirement plans for certain law enforcement personnel under the County Employees Retirement Act,0
LB0161,2023_2024,RS,Change provisions of the Workplace Privacy Act,0
LB0162,2023_2024,RS,Prohibit tampering with electronic monitoring devices required by court order or as a condition of parole,0
LB0163,2023_2024,RS,"Provide for various reforms to jails and prisons,  provide certain protections for prisoners, prohibit construction or expansion or prisons and jails as prescribed, and provide for oversight of the Department of Correctional Services during an overcrowding emergency by the Judiciary Committee",0
LB0164,2023_2024,RS,"Change provisions relating to the Economic Recovery Act, the Municipal Inland Port Authority Act, the Nebraska Rural Projects Act, grants awarded by the Department of Economic Development, and transfers of funds and investment earnings, provide for a museum at Fort Robinson State Park, and adopt the Child Care Capacity Building and Workforce Act",0
LB0165,2023_2024,RS,Include elementary and secondary schools in the Nebraska educational savings plan trust and change tax benefits,0
LB0166,2023_2024,RS,"Change provisions relating to design-build, construction manager-general contractor, and public-private-partnership proposals under the Transportation Innovation Act",0
LB0167,2023_2024,RS,Provide requirements for depositions of certain children,0
LB0168,2023_2024,RS,Change provisions relating to sports wagering and distribution of taxes collected from sports wagering on instate collegiate sporting events,0
LB0169,2023_2024,RS,Prohibit discrimination based upon sexual orientation and gender identity,0
LB0170,2023_2024,RS,Redefine blighted area under the Nebraska Investment Finance Authority Act,0
LB0171,2023_2024,RS,Name the Metropolitan Utilities District Act and transfer and change provisions relating to metropolitan utilities districts,0
LB0172,2023_2024,RS,Adopt updated electrical standards,0
