Date,State,Bill No,Title,Action
"March 1, 2024",UT,SB 61,Prohibits the Sale of Flavored Tobacco Products,"Conference Report Adopted
                           - Senate
                      

                      
                          (23 - 4)"
"March 1, 2024",UT,SB 61,Prohibits the Sale of Flavored Tobacco Products,"Conference Report Adopted
                           - House
                      

                      
                          (67 - 6)"
"March 1, 2024",UT,HB 297,Limits the Ability of Local Governments to Regulate Beekeeping,"Bill Passed
                           - Senate
                      

                      
                          (27 - 0)"
"March 1, 2024",UT,SB 220,Amends Certain State School Readiness Programs,"Bill Passed
                           - House
                      

                      
                          (51 - 20)"
"Feb. 29, 2024",UT,SB 168,Establishes a Statewide Building Code for Modular Homes,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (19 - 2)"
"Feb. 29, 2024",UT,HB 432,Authorizes Clergy to Report on Child Abuse and Neglect,"Bill Passed
                           - Senate
                      

                      
                          (26 - 0)"
"Feb. 29, 2024",UT,HB 496,Requires the Public Lands Policy Coordinating Office Recognize Multiple Uses and Sustained Yields on Federal Publi ...,"Bill Passed
                           - Senate
                      

                      
                          (20 - 4)"
"Feb. 28, 2024",UT,HB 84,Authorizes School Employees to Volunteer as Armed Guards,"Concurrence Vote Passed
                           - House
                      

                      
                          (63 - 9)"
"Feb. 28, 2024",UT,SB 45,Repeals Front Facing License Plate Requirements,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (27 - 0)"
"Feb. 28, 2024",UT,HB 119,Authorizes Incentives for Teachers to Conceal Carry in School,"Concurrence Vote Passed
                           - House
                      

                      
                          (53 - 13)"
"Feb. 28, 2024",UT,SB 268,Authorizes Cities to Create First Home Investment Zones,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (20 - 7)"
"Feb. 28, 2024",UT,HB 119,Authorizes Incentives for Teachers to Conceal Carry in School,"Bill Passed
                           - Senate
                      

                      
                          (19 - 6)"
"Feb. 28, 2024",UT,SB 268,Authorizes Cities to Create First Home Investment Zones,"Bill Passed
                           - House
                      

                      
                          (55 - 18)"
"Feb. 28, 2024",UT,SB 211,Appropriates Funding for Construction of New State Water Infrastructure,"Bill Passed
                           - House
                      

                      
                          (70 - 4)"
"Feb. 28, 2024",UT,HB 30,Establishes Road Rage as a Criminal Offense,"Bill Passed
                           - Senate
                      

                      
                          (23 - 5)"
"Feb. 28, 2024",UT,HB 562,Appropriates Taxpayer Funds Towards Construction Costs for a New Major League Baseball Stadium,"Bill Passed
                           - Senate
                      

                      
                          (25 - 4)"
"Feb. 27, 2024",UT,HB 48,Amends the Utah Energy Act,"Bill Passed
                           - Senate
                      

                      
                          (23 - 6)"
"Feb. 27, 2024",UT,SB 240,Specifies Daily Calendars for State Elected Officials are No Longer Considered Public Government Records,"Bill Passed
                           - House
                      

                      
                          (52 - 22)"
"Feb. 27, 2024",UT,HB 562,Appropriates Taxpayer Funds Towards Construction Costs for a New Major League Baseball Stadium,"Bill Passed
                           - House
                      

                      
                          (51 - 21)"
"Feb. 26, 2024",UT,SB 131,Requires Candidates Disclose Whether AI is Used in Political Advertisements,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (25 - 0)"
"Feb. 26, 2024",UT,HB 303,Requires School Employees to Stay Neutral on Certain Viewpoints Regarding Gender Identity and Sexuality,"Bill Failed
                           - House
                      

                      
                          (32 - 39)"
"Feb. 26, 2024",UT,SB 240,Specifies Daily Calendars for State Elected Officials are No Longer Considered Public Government Records,"Bill Passed
                           - Senate
                      

                      
                          (22 - 7)"
"Feb. 23, 2024",UT,HB 374,Amends Various State Energy Policies,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 7)"
